Quarter,Time,Tm,Detail,KAN,HOU
1.0,6:23,Chiefs,Mike Vrabel 2 yard pass from Matt Cassel (Ryan Succop kick),7,0
2.0,6:45,Texans,Joel Dreessen 5 yard pass from Matt Schaub (Neil Rackers kick),7,7
,0:13,Chiefs,Dwayne Bowe 17 yard pass from Matt Cassel (Ryan Succop kick),14,7
3.0,8:19,Chiefs,Dwayne Bowe 42 yard pass from Matt Cassel (Ryan Succop kick),21,7
,7:02,Texans,Derrick Ward 38 yard rush (Neil Rackers kick),21,14
,2:58,Chiefs,Ryan Succop 24 yard field goal,24,14
4.0,12:06,Texans,Arian Foster 2 yard rush (Neil Rackers kick),24,21
,7:05,Chiefs,Thomas Jones 11 yard rush (Ryan Succop kick),31,21
,3:30,Texans,Arian Foster 1 yard rush (Neil Rackers kick),31,28
,0:28,Texans,Andre Johnson 11 yard pass from Matt Schaub (Neil Rackers kick),31,35
