Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Neil Rackers kicks off 67 yards, returned by Javier Arenas for 23 yards (tackle by Antwaun Molden)",0.000,0.670
1,14:53,1,10,KAN 26,0,0,Jamaal Charles right tackle for -2 yards (tackle by Shaun Cody),0.670,-0.140
1,14:29,2,12,KAN 24,0,0,Jamaal Charles middle for 4 yards (tackle by Brian Cushing),-0.140,-0.300
1,13:49,3,8,KAN 28,0,0,Matt Cassel pass complete short left to Dwayne Bowe for 14 yards (tackle by Eugene Wilson),-0.300,1.730
1,13:18,1,10,KAN 42,0,0,Matt Cassel pass complete short left to Jamaal Charles for 8 yards (tackle by Mario Williams and Shaun Cody),1.730,2.270
1,12:48,2,2,,0,0,Jamaal Charles middle for no gain (tackle by Amobi Okoye and DeMeco Ryans),2.270,1.550
1,12:20,3,2,,0,0,Matt Cassel left end for 8 yards (tackle by Brian Cushing),1.550,2.790
1,11:40,1,10,HOU 42,0,0,Jamaal Charles left end for 9 yards (tackle by Brian Cushing and Kareem Jackson),2.790,3.460
1,11:16,2,1,HOU 33,0,0,Thomas Jones right end for 8 yards (tackle by Eugene Wilson),3.460,3.910
1,10:33,1,10,HOU 25,0,0,Jamaal Charles left end for 3 yards (tackle by Shaun Cody),3.910,3.770
1,9:55,2,7,HOU 22,0,0,Matt Cassel pass complete short right to Jamaal Charles for -2 yards (tackle by Mario Williams),3.770,2.810
1,9:12,3,9,HOU 24,0,0,Dexter McCluster middle for 7 yards (tackle by Kareem Jackson and Amobi Okoye),2.810,2.440
1,8:27,4,2,HOU 17,0,0,"Matt Cassel pass incomplete short middle intended for Terrance Copper. Penalty on Kareem Jackson: Defensive Pass Interfere, 6 yards (no play)",2.440,4.840
1,8:22,1,10,HOU 11,0,0,"Penalty on Ryan Lilja: False Start, 5 yards (no play)",4.840,4.340
1,8:22,1,15,HOU 16,0,0,Thomas Jones left end for 8 yards (tackle by Brian Cushing and Kareem Jackson),4.340,4.700
1,7:52,2,7,HOU 8,0,0,Matt Cassel pass complete short left to Dexter McCluster for 6 yards (tackle by Glover Quin),4.700,5.120
1,7:08,3,1,HOU 2,0,0,Thomas Jones right tackle for no gain (tackle by Antonio Smith and DeMeco Ryans),5.120,3.250
1,6:30,4,1,HOU 2,6,0,"Matt Cassel pass complete short right to Mike Vrabel for 2 yards, touchdown",3.250,7.000
1,,,,HOU 2,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Ryan Succop kicks off 70 yards, touchback",0.000,0.280
1,6:23,1,10,HOU 20,7,0,Arian Foster right end for no gain (tackle by Brandon Flowers),0.280,-0.270
1,5:54,2,10,HOU 20,7,0,Arian Foster middle for 3 yards (tackle by Jovan Belcher and Shaun Smith),-0.270,-0.560
1,5:10,3,7,HOU 23,7,0,Matt Schaub pass complete short left to Arian Foster for 6 yards (tackle by Brandon Carr and Derrick Johnson),-0.560,-1.440
1,4:18,4,1,HOU 29,7,0,"Penalty on Matt Turk: Delay of Game, 5 yards (no play)",-1.440,-1.770
1,4:18,4,6,HOU 24,7,0,"Matt Turk punts 60 yards, returned by Javier Arenas for 16 yards (tackle by Karl Paymah). Penalty on Demorrio Williams: Unnecessary Roughness, 15 yards",-1.770,0.060
1,4:05,1,10,KAN 17,7,0,Matt Cassel pass complete short right to Leonard Pope for 12 yards (tackle by Brian Cushing and DeMeco Ryans),-0.060,0.870
1,3:32,1,10,KAN 29,7,0,Thomas Jones middle for 4 yards (tackle by DeMeco Ryans and Shaun Cody),0.870,0.870
1,2:57,2,6,KAN 33,7,0,Matt Cassel pass complete short left to Jake O'Connell for 7 yards (tackle by Bernard Pollard),0.870,1.600
1,2:22,1,10,KAN 40,7,0,Thomas Jones right end for 2 yards (tackle by Shaun Cody and DeMeco Ryans),1.600,1.320
1,1:38,2,8,KAN 42,7,0,Matt Cassel pass incomplete short left intended for Dwayne Bowe. Penalty on Dexter McCluster: Illegal Shift (Declined),1.320,0.630
1,1:33,3,8,KAN 42,7,0,Jamaal Charles left end for 3 yards (tackle by Bernard Pollard and Glover Quin),0.630,-0.390
1,0:57,4,5,KAN 45,7,0,"Dustin Colquitt punts 39 yards, fair catch by Jacoby Jones",-0.390,0.140
1,0:48,1,10,HOU 16,7,0,Arian Foster middle for 4 yards (tackle by Glenn Dorsey and Jovan Belcher),-0.140,0.010
1,0:16,2,6,HOU 20,7,0,Matt Schaub pass complete short right to Andre Johnson for 4 yards (tackle by Brandon Flowers),0.010,-0.320
Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
