Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 61 yards, returned by Adam Jones for 20 yards (tackle by Nick Speegle)",0.000,0.870
1,15:00,1,10,TEN 29,0,0,Chris Brown left tackle for 2 yards (tackle by Alvin McKinley and Ben Taylor),0.870,0.600
1,14:26,2,8,TEN 31,0,0,Chris Brown left guard for 3 yards (tackle by Alvin McKinley and Jason Fisk),0.600,0.300
1,13:46,3,5,TEN 34,0,0,Steve McNair pass complete to Bo Scaife for 9 yards (tackle by Matt Stewart),0.300,1.800
1,13:10,1,10,TEN 43,0,0,Chris Brown right tackle for 6 yards,1.800,2.060
1,12:34,2,4,TEN 49,0,0,Chris Brown left guard for 2 yards,2.060,1.620
1,11:54,3,2,CLE 49,0,0,Steve McNair pass incomplete intended for Bo Scaife,1.620,0.000
1,11:50,4,2,CLE 49,0,0,"Craig Hentrich punts 49 yards, touchback",0.000,-0.280
1,11:41,1,10,CLE 20,0,0,Reuben Droughns right tackle for 3 yards (tackle by Randy Starks),0.280,0.140
1,11:04,2,7,CLE 23,0,0,Reuben Droughns right tackle for 5 yards (tackle by Keith Bulluck and Reynaldo Hill),0.140,0.100
1,10:20,3,2,CLE 28,0,0,Trent Dilfer pass complete to Steve Heiden for 10 yards (tackle by Brad Kassell),0.100,1.470
1,9:44,1,10,CLE 38,0,0,Reuben Droughns right guard for 2 yards (tackle by Travis LaBoy),1.470,1.190
1,8:58,2,8,CLE 40,0,0,Reuben Droughns right end for 6 yards (tackle by Kyle Vanden Bosch and Reynaldo Hill),1.190,1.290
1,8:15,3,2,CLE 46,0,0,Trent Dilfer pass incomplete intended for Steve Heiden,1.290,-0.320
1,8:11,4,2,CLE 46,0,0,Kyle Richardson punts 49 yards,-0.320,0.380
1,8:02,1,10,TEN 5,0,0,Chris Brown right guard for 4 yards (tackle by Ben Taylor and Ethan Kelley),-0.380,-0.490
1,7:25,2,6,TEN 9,0,0,Chris Brown left guard for 1 yard (tackle by Orpheus Roye),-0.490,-0.840
1,6:38,,,,0,0,Timeout #1 by Tennessee Titans,0.000,-0.840
1,6:38,3,5,TEN 10,0,0,Steve McNair pass complete to Erron Kinney for 6 yards (tackle by Matt Stewart),-0.840,-0.140
1,5:58,1,10,TEN 16,0,0,Steve McNair pass complete to Roydell Williams for 11 yards (tackle by Leigh Bodden),-0.140,0.740
1,5:20,1,10,TEN 27,0,0,Chris Brown left guard for 3 yards (tackle by Chaun Thompson),0.740,0.600
1,4:35,2,7,TEN 30,0,0,Steve McNair pass incomplete intended for Courtney Roby,0.600,-0.100
1,4:26,3,7,TEN 30,0,0,Steve McNair pass incomplete intended for Erron Kinney,-0.100,-1.370
1,4:21,4,7,TEN 30,0,0,"Craig Hentrich punts 33 yards, returned by Josh Cribbs for 5 yards (tackle by Troy Fleming)",-1.370,-1.730
1,4:11,1,10,CLE 42,0,6,"Trent Dilfer pass complete to Dennis Northcutt for 58 yards, touchdown",1.730,7.000
1,,,,TEN 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,7,"Phil Dawson kicks off 66 yards, returned by Adam Jones for 24 yards. Adam Jones fumbles, recovered by Jarrett Payton at TEN-26",0.000,0.670
1,3:52,1,10,TEN 26,0,7,Steve McNair pass complete to Bo Scaife for 12 yards (tackle by Ben Taylor),0.670,1.470
1,3:26,1,10,TEN 38,0,7,Chris Brown right tackle for -1 yards (tackle by Daylon McCutcheon),1.470,0.790
1,2:44,2,11,TEN 37,0,7,"Steve McNair pass incomplete intended for Courtney Roby (defended by Chaun Thompson). Penalty on Chaun Thompson: Defensive Pass Interfere, 3 yards (no play)",0.790,1.600
1,2:39,1,10,TEN 40,0,7,Steve McNair pass incomplete intended for Chris Brown. Penalty on Zach Piller: Ineligible Downfield Pas (Declined),1.600,1.050
1,2:35,2,10,TEN 40,0,7,Chris Brown left guard for -2 yards (tackle by Chaun Thompson and Orpheus Roye),1.050,0.100
1,1:51,,,,0,7,Timeout #2 by Tennessee Titans,0.000,0.100
1,1:51,3,12,TEN 38,0,7,Steve McNair pass complete to Chris Brown for 8 yards (tackle by Brodney Pool),0.100,-0.320
1,1:13,4,4,TEN 46,0,7,"Jarrett Payton right tackle for 1 yard (tackle by Josh Cribbs). Penalty on Erron Kinney: Offensive Holding, 10 yards",-0.320,-0.910
1,0:50,4,13,TEN 37,0,7,"Craig Hentrich punts 37 yards (tackle by Michael Waddell). Penalty on Josh Cribbs: Offensive Holding, 10 yards",-0.910,-0.340
1,0:38,1,10,CLE 21,0,7,Trent Dilfer pass complete to Terrelle Smith for 7 yards (tackle by Keith Bulluck and Kyle Vanden Bosch),0.340,0.750
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CLE 28,0,7,"Reuben Droughns right guard for 1 yard (tackle by Brad Kassell). Penalty on Adam Jones: Illegal Use of Hands, 5 yards",0.750,1.200
2,14:38,1,10,CLE 34,0,7,Trent Dilfer pass complete to Reuben Droughns for 11 yards (tackle by Keith Bulluck),1.200,1.930
2,13:49,,,,0,7,Timeout #1 by Cleveland Browns,0.000,1.930
2,13:49,1,10,CLE 45,0,7,Reuben Droughns left guard for 1 yard (tackle by Keith Bulluck and Kyle Vanden Bosch),1.930,1.520
2,13:07,2,9,CLE 46,0,7,Reuben Droughns right guard for 6 yards (tackle by Keith Bulluck and Lamont Thompson),1.520,1.620
2,12:28,3,3,TEN 48,0,7,Trent Dilfer pass incomplete intended for Dennis Northcutt,1.620,0.070
2,12:24,4,3,TEN 48,0,7,"Kyle Richardson punts 35 yards, fair catch by Adam Jones",0.070,0.320
2,12:17,1,10,TEN 13,0,7,Chris Brown right tackle for 32 yards (tackle by Chaun Thompson),-0.320,1.930
2,11:34,1,10,TEN 45,0,7,Steve McNair pass incomplete intended for Roydell Williams (defended by Kenard Lang),1.930,1.380
2,11:29,2,10,TEN 45,0,7,Chris Brown right tackle for -4 yards (tackle by Orpheus Roye),1.380,0.170
2,10:44,3,14,TEN 41,0,7,Steve McNair pass incomplete intended for Courtney Roby. Penalty on Courtney Roby: Offensive Pass Interfere (Declined),0.170,-0.650
2,10:37,4,14,TEN 41,0,7,Craig Hentrich punts 27 yards,-0.650,-1.070
2,10:29,1,10,CLE 32,0,7,Reuben Droughns right guard for 9 yards (tackle by Lamont Thompson),1.070,1.740
2,9:51,2,1,CLE 41,0,7,Reuben Droughns right guard for no gain (tackle by Keith Bulluck and Randy Starks),1.740,1.030
2,9:09,3,1,CLE 41,0,7,Trent Dilfer pass complete to Antonio Bryant for 15 yards,1.030,2.650
2,8:28,1,10,TEN 44,0,7,Reuben Droughns left tackle for -2 yards (tackle by Keith Bulluck),2.650,1.840
2,7:48,2,12,TEN 46,0,7,"Chris Crocker right guard for 4 yards. Penalty on Steve Heiden: Illegal Motion, 5 yards (no play)",1.840,1.170
2,7:27,2,17,CLE 49,0,7,"Trent Dilfer for no gain. Trent Dilfer fumbles, recovered by Travis LaBoy at CLE-45",1.170,-2.590
2,7:22,1,10,CLE 45,0,7,Steve McNair pass incomplete intended for Bo Scaife,2.590,2.040
2,7:16,2,10,CLE 45,0,7,Steve McNair pass incomplete intended for Gregg Guenther (defended by Kenard Lang),2.040,1.360
2,7:12,3,10,CLE 45,0,7,Steve McNair pass complete to Bo Scaife for 10 yards (tackle by Brodney Pool),1.360,3.250
2,6:32,1,10,CLE 35,0,7,Chris Brown right guard for 4 yards (tackle by Orpheus Roye),3.250,3.240
2,5:53,2,6,CLE 31,0,7,Chris Brown right tackle for 4 yards (tackle by Alvin McKinley and Chaun Thompson),3.240,3.070
2,5:08,3,2,CLE 27,0,7,Chris Brown right guard for -5 yards (tackle by Kenard Lang). Penalty on Roydell Williams: Illegal Formation (Declined),3.070,1.240
2,4:46,4,7,CLE 32,0,7,Rob Bironas 50 yard field goal no good,1.240,-1.600
2,4:40,1,10,CLE 40,0,7,Trent Dilfer pass complete to Steve Heiden for 5 yards (tackle by Robert Reynolds and Reynaldo Hill),1.600,1.730
2,3:54,2,5,CLE 45,0,7,Reuben Droughns right guard for no gain (tackle by Albert Haynesworth),1.730,1.030
2,3:11,3,5,CLE 45,0,7,Trent Dilfer up the middle for 3 yards (tackle by Michael Waddell and Rien Long),1.030,-0.190
2,2:31,4,2,CLE 48,0,7,"Kyle Richardson punts 37 yards, returned by Lamont Thompson for 31 yards (tackle by Kyle Richardson)",-0.190,-1.990
2,2:17,1,10,TEN 46,0,7,Steve McNair pass complete to Bo Scaife for 19 yards (tackle by Matt Stewart),1.990,3.250
2,2:00,1,10,CLE 35,0,7,Steve McNair pass complete to Roydell Williams for 11 yards (tackle by Chaun Thompson and Leigh Bodden),3.250,3.970
2,1:32,1,10,CLE 24,6,7,"Steve McNair pass complete to Erron Kinney for 24 yards, touchdown",3.970,7.000
2,,,,CLE 2,7,7,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,7,7,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
