Unnamed: 0,STL,SFO
First Downs,9,13
Rush-Yds-TDs,28-95-0,29-96-0
Cmp-Att-Yd-TD-INT,13-24-108-0-1,14-24-152-2-0
Sacked-Yards,5-26,4-20
Net Pass Yards,82,132
Total Yards,177,228
Fumbles-Lost,2-2,2-0
Turnovers,3,0
Penalties-Yards,10-73,3-33
Third Down Conv.,5-16,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,29:48,30:12
