Quarter,Time,Tm,Detail,DEN,TEN
1.0,7:29,Titans,DeMarco Murray 1 yard rush (Ryan Succop kick),0,7
,5:48,Titans,Ryan Succop 53 yard field goal,0,10
2.0,1:27,Titans,Ryan Succop 41 yard field goal,0,13
4.0,9:58,Broncos,Emmanuel Sanders 3 yard pass from Trevor Siemian (Brandon McManus kick),7,13
,4:28,Broncos,Brandon McManus 34 yard field goal,10,13
