Unnamed: 0,DEN,TEN
First Downs,19,16
Rush-Yds-TDs,9-18-0,42-180-1
Cmp-Att-Yd-TD-INT,36-52-350-1-0,6-21-88-0-0
Sacked-Yards,3-20,2-15
Net Pass Yards,330,73
Total Yards,348,253
Fumbles-Lost,2-2,1-0
Turnovers,2,0
Penalties-Yards,9-87,5-55
Third Down Conv.,3-11,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,27:33,32:27
