Quarter,Time,Tm,Detail,IND,HOU
2.0,13:42,Texans,Ka'imi Fairbairn 35 yard field goal,0,3
,4:28,Colts,Jacoby Brissett 5 yard rush (Adam Vinatieri kick),7,3
,1:53,Texans,DeAndre Hopkins 35 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
,0:00,Colts,Adam Vinatieri 36 yard field goal,10,10
3.0,5:36,Colts,Jonathan Williams 13 yard rush (Adam Vinatieri kick),17,10
,2:43,Texans,Ka'imi Fairbairn 36 yard field goal,17,13
4.0,12:34,Texans,DeAndre Hopkins 30 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,20
