Quarter,Time,Tm,Detail,DET,JAX
2.0,12:16,Lions,Mikel Leshoure 7 yard rush (Jason Hanson kick),7,0
,7:58,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),14,0
,0:29,Lions,Mikel Leshoure 8 yard rush (Jason Hanson kick),21,0
4.0,13:56,Lions,Jason Hanson 42 yard field goal,24,0
,8:36,Jaguars,Micheal Spurlock 5 yard pass from Blaine Gabbert (Rashad Jennings pass from Blaine Gabbert),24,8
,2:42,Lions,Joique Bell 10 yard rush (Jason Hanson kick),31,8
,0:50,Jaguars,Justin Blackmon 6 yard pass from Blaine Gabbert (pass failed),31,14
