Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Aaron Ross,JAX,0,0,,0,0,1,5,5.0,0,5
Micheal Spurlock,JAX,0,0,,0,0,1,7,7.0,0,7
Jalen Parmele,JAX,2,48,24.0,0,25,0,0,,0,0
George Selvie,JAX,1,0,0.0,0,0,0,0,,0,0
