Unnamed: 0,DET,JAX
First Downs,26,19
Rush-Yds-TDs,34-149-4,20-64-0
Cmp-Att-Yd-TD-INT,22-33-285-0-0,27-38-220-2-2
Sacked-Yards,1-0,1-5
Net Pass Yards,285,215
Total Yards,434,279
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,5-42,3-40
Third Down Conv.,8-12,6-11
Fourth Down Conv.,0-0,1-1
Time of Possession,35:30,24:30
