Quarter,Time,Tm,Detail,TEN,BAL
1.0,8:54,Titans,Chris Brown 6 yard rush (Gary Anderson kick),7,0
,6:12,Ravens,Will Demps 56 yard interception return (Matt Stover kick),7,7
2.0,1:55,Ravens,Matt Stover 43 yard field goal,7,10
3.0,7:59,Titans,Justin McCareins 49 yard pass from Steve McNair (Gary Anderson kick),14,10
4.0,9:13,Titans,Gary Anderson 45 yard field goal,17,10
,4:30,Ravens,Todd Heap 35 yard pass from Anthony Wright (Matt Stover kick),17,17
,0:29,Titans,Gary Anderson 46 yard field goal,20,17
