Unnamed: 0,TEN,BAL
First Downs,16,12
Rush-Yds-TDs,40-165-1,16-54-0
Cmp-Att-Yd-TD-INT,14-23-159-1-3,20-37-214-1-2
Sacked-Yards,0-0,2-13
Net Pass Yards,159,201
Total Yards,324,255
Fumbles-Lost,0-0,1-0
Turnovers,3,2
Penalties-Yards,6-55,8-70
Third Down Conv.,6-15,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:08,24:52
