Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Craig Hentrich kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Anthony Wright pass incomplete intended for Todd Heap,0.280,-0.270
1,14:54,2,10,BAL 20,0,0,Jamal Lewis left guard for 1 yard (tackle by Brad Kassell and Kevin Carter),-0.270,-0.820
1,14:13,3,9,BAL 21,0,0,Anthony Wright pass incomplete intended for Chester Taylor (defended by Robaire Smith),-0.820,-1.960
1,14:08,4,9,BAL 21,0,0,"Dave Zastudil punts 53 yards, returned by Derrick Mason for 7 yards (tackle by Musa Smith)",-1.960,-1.140
1,13:57,1,10,TEN 33,0,0,Steve McNair pass complete to Drew Bennett for 17 yards (tackle by Ray Lewis),1.140,2.260
1,13:32,1,10,BAL 50,0,0,Eddie George left guard for 5 yards (tackle by Ed Hartwell and Ray Lewis),2.260,2.390
1,12:52,2,5,BAL 45,0,0,Steve McNair pass complete to Frank Wycheck for 14 yards (tackle by Will Demps),2.390,3.510
1,12:12,1,10,BAL 31,0,0,Steve McNair pass incomplete intended for Drew Bennett,3.510,2.970
1,12:03,2,10,BAL 31,0,0,Eddie George left end for 13 yards (tackle by Will Demps),2.970,4.370
1,11:39,1,10,BAL 18,0,0,Eddie George left guard for 3 yards (tackle by Anthony Weaver),4.370,4.250
1,11:02,2,7,BAL 15,0,0,Eddie George right tackle for 4 yards (tackle by Marques Douglas and Kelly Gregg),4.250,4.260
1,10:24,3,3,BAL 11,0,0,Steve McNair up the middle for 9 yards (tackle by Riddick Parker),4.260,6.740
1,9:45,1,2,BAL 2,0,0,Eddie George right guard for -4 yards (tackle by Kelly Gregg),6.740,4.950
1,8:58,,,,0,0,Timeout #1 by Tennessee Titans,0.000,4.950
1,8:58,2,6,BAL 6,6,0,"Chris Brown right tackle for 6 yards, touchdown",4.950,7.000
1,,,,BAL 2,7,0,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Craig Hentrich kicks off 53 yards, returned by Lamont Brightful for 28 yards (tackle by Craig Hentrich). Penalty on Musa Smith: Offensive Holding, 10 yards",0.000,-0.220
1,8:47,1,10,BAL 15,7,0,Anthony Wright pass complete to Travis Taylor for 6 yards (tackle by Andre Dyson),-0.220,0.210
1,8:15,2,4,BAL 21,7,0,Jamal Lewis right tackle for 2 yards (tackle by Albert Haynesworth and Jevon Kearse),0.210,-0.390
1,7:28,3,2,BAL 23,7,0,Anthony Wright pass incomplete intended for Todd Heap,-0.390,-1.830
1,7:21,4,2,BAL 23,7,0,"Dave Zastudil punts 56 yards, returned by Derrick Mason for 15 yards. Penalty on Brad Kassell: Offensive Holding, 10 yards",-1.830,-0.610
1,7:10,1,10,TEN 25,7,0,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Chris McAlister),0.610,1.330
1,6:32,1,10,TEN 36,7,6,"Steve McNair pass incomplete intended for Derrick Mason is intercepted by Will Demps at BAL-44 and returned for 56 yards, touchdown",1.330,-7.000
1,,,,TEN 2,7,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,7,7,"Wade Richey kicks off 45 yards, returned by Shad Meier for 12 yards (tackle by Bart Scott)",0.000,1.400
1,6:08,1,10,TEN 37,7,7,Eddie George right tackle for no gain (tackle by Ray Lewis),1.400,0.860
1,5:34,2,10,TEN 37,7,7,Eddie George left tackle for 6 yards (tackle by Marques Douglas),0.860,0.960
1,4:49,3,4,TEN 43,7,7,Steve McNair right end for 5 yards (tackle by Riddick Parker),0.960,2.130
1,4:00,1,10,TEN 48,7,7,"Eddie George left tackle for 3 yards (tackle by Ed Reed and Ma'ake Kemoeatu). Penalty on Brad Hopkins: Offensive Holding, 10 yards (no play)",2.130,1.470
1,3:35,1,20,TEN 38,7,7,Chris Brown left tackle for 6 yards (tackle by Ed Hartwell and Marques Douglas),1.470,1.040
1,2:55,2,14,TEN 44,7,7,Steve McNair pass complete to Justin McCareins for 13 yards (tackle by Ray Lewis),1.040,2.080
1,2:04,3,1,BAL 43,7,7,Steve McNair pass incomplete intended for Derrick Mason (defended by Chris McAlister),2.080,0.400
1,1:51,4,1,BAL 43,7,7,"Craig Hentrich punts 32 yards, muffed catch by Lamont Brightful, recovered by Lamont Brightful and returned for no gain",0.400,0.350
1,1:43,1,10,BAL 12,7,7,Jamal Lewis left tackle for no gain (tackle by Keith Bulluck),-0.350,-0.780
1,1:08,2,10,BAL 12,7,7,"Penalty on Bennie Anderson: False Start, 5 yards (no play)",-0.780,-1.150
1,0:49,2,15,BAL 7,7,7,Anthony Wright pass complete to Jamal Lewis for -2 yards (tackle by Samari Rolle),-1.150,-2.240
1,0:07,3,17,BAL 5,7,7,Anthony Wright up the middle for 8 yards (tackle by Keith Bulluck),-2.240,-2.490
Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
