Quarter,Time,Tm,Detail,PIT,KAN
1.0,14:12,Steelers,Chad Scott 26 yard interception return (Jeff Reed kick),7,0
,9:48,Steelers,Jeff Reed 20 yard field goal,10,0
,9:35,Chiefs,Dante Hall 100 yard kickoff return (Morten Andersen kick),10,7
,3:27,Steelers,Plaxico Burress 33 yard pass from Tommy Maddox (Jeff Reed kick),17,7
2.0,12:49,Chiefs,Priest Holmes 3 yard rush (Morten Andersen kick),17,14
,4:50,Chiefs,Jason Dunn 3 yard pass from Trent Green (Morten Andersen kick),17,21
,2:25,Chiefs,Jerome Woods 46 yard interception return (Morten Andersen kick failed),17,27
,0:00,Steelers,Jeff Reed 51 yard field goal,20,27
3.0,12:10,Chiefs,Priest Holmes 4 yard rush (Morten Andersen kick),20,34
4.0,5:06,Chiefs,Priest Holmes 31 yard rush (Morten Andersen kick),20,41
