Quarter,Time,Tm,Detail,HOU,BAL
1.0,8:49,Texans,Lamar Miller 4 yard rush (Ka'imi Fairbairn kick),7,0
2.0,11:10,Ravens,Javorius Allen 10 yard rush (Justin Tucker kick),7,7
,6:44,Ravens,Alex Collins 8 yard rush (Justin Tucker kick),7,14
,1:48,Texans,Ka'imi Fairbairn 25 yard field goal,10,14
,0:07,Ravens,Justin Tucker 53 yard field goal,10,17
3.0,4:35,Texans,Ka'imi Fairbairn 36 yard field goal,13,17
4.0,10:54,Ravens,Justin Tucker 31 yard field goal,13,20
,8:36,Texans,Ka'imi Fairbairn 37 yard field goal,16,20
,2:53,Ravens,Justin Tucker 49 yard field goal,16,23
