Unnamed: 0,HOU,BAL
First Downs,20,17
Rush-Yds-TDs,25-66-1,31-139-2
Cmp-Att-Yd-TD-INT,22-37-252-0-2,21-33-163-0-0
Sacked-Yards,2-15,1-8
Net Pass Yards,237,155
Total Yards,303,294
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,6-36,7-89
Third Down Conv.,6-14,3-14
Fourth Down Conv.,0-0,2-2
Time of Possession,30:16,29:44
