Quarter,Time,Down,ToGo,Location,BUF,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Mike Hollis kicks off 57 yards, returned by Doug Chapman for 16 yards (tackle by Jason Bostic)",0.000,0.870
1,14:56,1,10,MIN 29,0,0,Michael Bennett right guard for 5 yards (tackle by Antoine Winfield),0.870,1.000
1,14:16,2,5,MIN 34,0,0,Daunte Culpepper pass incomplete intended for Randy Moss,1.000,0.300
1,14:12,3,5,MIN 34,0,0,Daunte Culpepper middle for 2 yards (tackle by Justin Bannan),0.300,-0.980
1,13:42,4,3,MIN 36,0,0,"Kyle Richardson punts 44 yards, fair catch by Charlie Rogers",-0.980,-0.280
1,13:33,1,10,BUF 20,0,0,Travis Henry left guard for -3 yards (tackle by Lance Johnstone),0.280,-0.790
1,12:55,2,13,BUF 17,0,0,Drew Bledsoe pass incomplete intended for Larry Centers,-0.790,-1.510
1,12:48,3,13,BUF 17,0,0,Drew Bledsoe pass complete to Eric Moulds for 12 yards (tackle by Greg Biekert and Ronnie Bradford),-1.510,-1.440
1,12:11,4,1,BUF 29,0,0,"Brian Moorman punts 35 yards, out of bounds",-1.440,-1.330
1,12:02,1,10,MIN 36,0,0,Michael Bennett right tackle for 3 yards (tackle by Chidi Ahanotu),1.330,1.200
1,11:24,2,7,MIN 39,0,0,Daunte Culpepper pass complete to Randy Moss for 31 yards (tackle by London Fletcher),1.200,1.200
,,,,,,,"BUF challenged the ruling, and the play was upheld.",,
1,11:24,2,7,MIN 39,0,0,--,1.200,3.580
1,11:01,1,10,BUF 30,0,0,Daunte Culpepper pass incomplete intended for Randy Moss,3.580,3.030
1,10:57,2,10,BUF 30,0,0,Daunte Culpepper pass complete to Jim Kleinsasser for 9 yards (tackle by Pierson Prioleau and London Fletcher),3.030,3.530
1,10:14,3,1,BUF 21,0,0,Daunte Culpepper middle for 3 yards (tackle by Aaron Schobel),3.530,4.370
1,9:33,1,10,BUF 18,0,0,Daunte Culpepper pass complete to Jim Kleinsasser for 8 yards (tackle by London Fletcher and Keith Newman),4.370,5.230
1,8:48,2,2,BUF 10,0,0,Moe Williams middle for 6 yards (tackle by Eddie Robinson and Pierson Prioleau),5.230,6.280
1,8:04,1,4,BUF 4,0,0,Daunte Culpepper pass incomplete intended for Randy Moss,6.280,5.340
1,7:59,2,4,BUF 4,0,0,Daunte Culpepper pass incomplete intended for Hunter Goodwin,5.340,4.490
1,7:53,3,4,BUF 4,0,0,Daunte Culpepper sacked by Aaron Schobel for -7 yards,4.490,2.700
1,7:36,4,11,BUF 11,0,3,Doug Brien 29 yard field goal good,2.700,3.000
1,7:36,,,MIN 30,0,3,"Doug Brien kicks off 66 yards, returned by Charlie Rogers for 15 yards (tackle by Brian Russell)",0.000,0.150
1,7:27,1,10,BUF 19,0,3,Drew Bledsoe pass complete to Eric Moulds for no gain,0.150,-0.390
