Quarter,Time,Tm,Detail,BUF,MIN
1,7:32,Vikings,Doug Brien 29 yard field goal,0,3
,3:56,Bills,Mike Hollis 52 yard field goal,3,3
,0:30,Bills,Mike Hollis 20 yard field goal,6,3
2,8:54,Vikings,Daunte Culpepper 2 yard rush (Doug Brien kick),6,10
,2:13,Vikings,Doug Brien 22 yard field goal,6,13
,1:06,Bills,Josh Reed 9 yard pass from Drew Bledsoe (Mike Hollis kick),13,13
3,13:36,Vikings,Randy Moss 2 yard pass from Daunte Culpepper (Doug Brien kick),13,20
,13:24,Bills,Charlie Rogers 90 yard kickoff return (Mike Hollis kick),20,20
,6:14,Bills,Mike Hollis 20 yard field goal,23,20
,1:30,Vikings,D'Wayne Bates 29 yard pass from Daunte Culpepper (Doug Brien kick failed),23,26
4,14:01,Bills,Ron Edwards defensive fumble recovery in end zone (Mike Hollis kick),30,26
,7:27,Vikings,Derrick Alexander 5 yard pass from Daunte Culpepper (Doug Brien kick failed),30,32
,3:08,Bills,Peerless Price 3 yard pass from Drew Bledsoe (pass failed),36,32
,0:26,Vikings,Moe Williams 2 yard rush (Doug Brien kick),36,39
,0:00,Bills,Mike Hollis 54 yard field goal,39,39
OT,4:48,Bills,Peerless Price 48 yard pass from Drew Bledsoe,45,39
