#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 29,3,1:27,7,Punt
2,1,12:02,MIN 36,11,4:30,53,Field Goal
3,1,3:56,MIN 31,2,1:01,-4,Fumble
4,1,0:30,MIN 28,11,6:36,72,Touchdown
5,2,7:07,MIN 27,12,4:54,69,Field Goal
6,2,1:06,MIN 27,9,1:06,47,Missed FG
7,3,14:16,BUF 3,2,0:40,3,Touchdown
8,3,13:24,MIN 22,5,2:25,23,Fumble
9,3,6:14,MIN 37,8,4:44,63,Touchdown
10,4,14:12,MIN 20,1,0:11,-20,Fumble
11,4,14:01,MIN 18,13,6:34,82,Touchdown
12,4,3:08,MIN 40,10,2:42,60,Touchdown
13,5,12:40,MIN 25,3,1:20,7,Punt
14,5,7:07,MIN 35,3,1:39,6,Punt
