Unnamed: 0,BUF,MIN
First Downs,26,31
Rush-Yds-TDs,14-31-0,39-213-2
Cmp-Att-Yd-TD-INT,35-49-463-3-0,25-46-281-3-0
Sacked-Yards,3-26,5-45
Net Pass Yards,437,236
Total Yards,468,449
Fumbles-Lost,2-0,5-3
Turnovers,0,3
Penalties-Yards,6-65,8-65
Third Down Conv.,4-12,7-16
Fourth Down Conv.,0-0,3-3
Time of Possession,30:23,39:49
