Unnamed: 0,LAC,NWE
First Downs,13,13
Rush-Yds-TDs,24-29-0,32-148-0
Cmp-Att-Yd-TD-INT,22-37-212-0-0,13-25-141-0-0
Sacked-Yards,0-0,5-32
Net Pass Yards,212,109
Total Yards,241,257
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,4-20,3-14
Third Down Conv.,5-15,4-14
Fourth Down Conv.,0-0,1-3
Time of Possession,28:50,31:10
