Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left guard for 3 yards (tackle by O'Brien Schofield),0.280,0.140
1,14:27,2,7,WAS 23,0,0,"Kirk Cousins pass complete short left to Pierre Garcon for 13 yards (tackle by Paul Worrilow). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",0.140,-1.280
1,14:05,2,17,WAS 13,0,0,Alfred Morris left tackle for 4 yards (tackle by Paul Worrilow and Ricardo Allen),-1.280,-1.510
1,13:26,3,13,WAS 17,0,0,Kirk Cousins pass complete short middle to Pierre Garcon for 11 yards (tackle by Ricardo Allen),-1.510,-1.500
1,12:54,4,2,WAS 28,0,0,"Tress Way punts 47 yards, fair catch by Eric Weems",-1.500,-0.610
1,12:45,1,10,ATL 25,0,0,Devonta Freeman right end for 3 yards (tackle by Terrance Knighton),0.610,0.470
1,12:11,2,7,ATL 28,0,0,Devonta Freeman left end for 7 yards (tackle by Trent Murphy and Will Blackmon),0.470,1.270
1,11:28,1,10,ATL 35,0,0,Matt Ryan pass complete short middle to Jacob Tamme for 25 yards (tackle by Will Blackmon),1.270,2.920
1,10:50,1,10,WAS 40,0,0,Matt Ryan pass incomplete deep middle intended for Julio Jones,2.920,2.370
1,10:44,2,10,WAS 40,0,0,Matt Ryan pass incomplete deep middle intended for Julio Jones is intercepted by Trent Robinson at WAS-17 and returned for 8 yards,2.370,-0.610
1,10:36,1,10,WAS 25,0,0,Matt Jones right tackle for no gain (tackle by Ra'Shede Hageman),0.610,0.060
1,9:58,2,10,WAS 25,0,0,Kirk Cousins pass complete short right to Matt Jones for 17 yards (tackle by Paul Worrilow),0.060,1.730
1,9:13,1,10,WAS 42,0,0,Matt Jones right end for 2 yards (tackle by Kroy Biermann),1.730,1.460
1,8:31,2,8,WAS 44,0,0,Kirk Cousins sacked by Nathan Stupar for 0 yards,1.460,0.760
1,7:45,3,8,WAS 44,0,0,Kirk Cousins pass incomplete deep left intended for Derek Carrier,0.760,-0.460
1,7:40,4,8,WAS 44,0,0,Tress Way punts 47 yards,-0.460,0.380
1,7:30,1,10,ATL 9,0,0,Devonta Freeman right end for 1 yard (tackle by Stephen Paea),-0.380,-0.710
1,6:45,2,9,ATL 10,0,0,Matt Ryan pass complete short right to Jacob Tamme for 4 yards (tackle by Bashaud Breeland),-0.710,-0.840
1,6:16,3,5,ATL 14,0,0,Matt Ryan pass complete short middle to Jacob Tamme for 11 yards (tackle by Dashon Goldson),-0.840,0.610
1,5:35,1,10,ATL 25,0,0,Matt Ryan sacked by Ryan Kerrigan for -9 yards,0.610,-1.290
1,4:50,2,19,ATL 16,0,0,Matt Ryan pass complete short right to Jacob Tamme for 10 yards (tackle by Kyshoen Jarrett),-1.290,-0.490
1,4:15,3,9,ATL 26,0,0,Matt Ryan pass incomplete short right intended for Terron Ward,-0.490,-1.630
1,4:11,4,9,ATL 26,0,0,"Matthew Bosher punts 51 yards, returned by Jamison Crowder for 10 yards (tackle by Patrick DiMarco)",-1.630,-1.140
1,3:59,1,10,WAS 33,0,0,Alfred Morris right tackle for -2 yards (tackle by Grady Jarrett),1.140,0.320
1,3:21,2,12,WAS 31,0,0,Kirk Cousins pass complete short middle to Chris Thompson for 14 yards (tackle by Joplo Bartu),0.320,1.930
1,2:42,1,10,WAS 45,0,0,"Penalty on Paul Soliai: Encroachment, 5 yards (no play)",1.930,2.660
1,2:32,1,5,,0,0,Matt Jones left guard for 3 yards (tackle by Paul Soliai),2.660,2.460
1,1:54,2,2,ATL 47,0,0,Matt Jones for 7 yards (tackle by William Moore),2.460,2.920
1,1:24,1,10,ATL 40,0,0,Kirk Cousins pass complete deep left to Pierre Garcon for 21 yards (tackle by Robenson Therezie),2.920,4.310
1,0:42,1,10,ATL 19,0,0,Alfred Morris right end for 4 yards (tackle by Robenson Therezie),4.310,4.350
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,ATL 15,0,0,Alfred Morris right guard for 2 yards (tackle by Paul Worrilow),4.350,3.960
2,14:20,3,4,ATL 13,0,0,Kirk Cousins pass complete short right to Chris Thompson for 3 yards (tackle by Nathan Stupar),3.960,2.910
2,13:33,4,1,ATL 10,0,0,Kirk Cousins right guard for 1 yard (tackle by Vic Beasley),2.910,5.140
2,13:01,1,9,ATL 9,0,0,Alfred Morris left guard for 2 yards (tackle by O'Brien Schofield),5.140,4.760
2,12:23,2,7,ATL 7,0,0,Kirk Cousins pass incomplete short middle intended for Pierre Garcon,4.760,3.810
2,12:18,3,7,ATL 7,6,0,"Kirk Cousins pass complete short middle to Derek Carrier for 7 yards, touchdown",3.810,7.000
2,12:18,,,ATL 7,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,12:18,,,WAS 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,12:12,1,10,ATL 20,7,0,Matt Ryan pass incomplete short right intended for Jacob Tamme,0.280,-0.270
2,12:09,2,10,ATL 20,7,0,Tevin Coleman left end for 2 yards (tackle by Keenan Robinson),-0.270,-0.690
2,11:31,3,8,ATL 22,7,0,Matt Ryan pass complete short right to Leonard Hankerson for 13 yards (tackle by Bashaud Breeland),-0.690,1.270
2,10:49,1,10,ATL 35,7,0,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Will Blackmon: Illegal Contact, 5 yards (no play)",1.270,1.600
2,10:44,1,10,ATL 40,7,0,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Will Blackmon),1.600,1.050
2,10:39,2,10,ATL 40,7,0,Devonta Freeman left tackle for 6 yards (tackle by Trent Robinson),1.050,1.160
2,10:03,3,4,ATL 46,7,0,Matt Ryan pass complete short right to Jacob Tamme for 17 yards (tackle by Bashaud Breeland),1.160,3.120
2,9:19,1,10,WAS 37,7,0,Devonta Freeman left tackle for 5 yards (tackle by Trent Murphy),3.120,3.250
2,8:42,2,5,WAS 32,7,0,Devonta Freeman right end for 7 yards (tackle by Trent Robinson),3.250,3.910
2,8:01,1,10,WAS 25,7,0,Tevin Coleman left tackle for 1 yard (tackle by Terrance Knighton),3.910,3.500
2,7:24,2,9,WAS 24,7,0,Matt Ryan pass incomplete deep middle intended for Julio Jones,3.500,2.810
2,7:18,3,9,WAS 24,7,0,Matt Ryan pass incomplete short left intended for Jacob Tamme,2.810,1.870
2,7:12,4,9,WAS 24,7,3,Matt Bryant 42 yard field goal good,1.870,3.000
2,7:12,,,ATL 35,7,3,"Matthew Bosher kicks off 68 yards, returned by Rashad Ross for 26 yards (tackle by Kemal Ishmael)",0.000,-0.480
2,7:00,1,10,WAS 23,7,3,Kirk Cousins pass incomplete short left intended for Pierre Garcon,0.480,-0.070
