Quarter,Time,Tm,Detail,WAS,ATL
2,12:12,Redskins,Derek Carrier 7 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
,7:07,Falcons,Matt Bryant 42 yard field goal,7,3
3,1:54,Falcons,Matt Bryant 28 yard field goal,7,6
4,9:14,Falcons,Julio Jones offensive fumble recovery in end zone (pass failed),7,12
,7:59,Redskins,Matt Jones 2 yard rush (pass failed),13,12
,2:38,Redskins,Dustin Hopkins 28 yard field goal,16,12
,0:24,Falcons,Devonta Freeman 6 yard rush (Matt Bryant kick),16,19
,0:00,Redskins,Dustin Hopkins 52 yard field goal,19,19
OT,12:15,Falcons,Robert Alford 59 yard interception return,19,25
