Unnamed: 0,WAS,ATL
First Downs,18,29
Rush-Yds-TDs,24-51-1,32-176-1
Cmp-Att-Yd-TD-INT,21-32-219-1-2,24-42-254-0-2
Sacked-Yards,1-0,3-12
Net Pass Yards,219,242
Total Yards,270,418
Fumbles-Lost,1-0,3-1
Turnovers,2,3
Penalties-Yards,5-51,4-62
Third Down Conv.,4-12,6-15
Fourth Down Conv.,1-1,3-3
Time of Possession,27:49,34:56
