Unnamed: 0,IND,DEN
First Downs,23,24
Rush-Yds-TDs,21-92-0,36-227-3
Cmp-Att-Yd-TD-INT,32-39-345-3-0,13-21-174-1-0
Sacked-Yards,0-0,1-5
Net Pass Yards,345,169
Total Yards,437,396
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-55,3-24
Third Down Conv.,7-11,7-11
Fourth Down Conv.,0-0,0-0
Time of Possession,28:57,31:03
