Unnamed: 0,STL,MIN
First Downs,18,21
Rush-Yds-TDs,36-160-1,35-145-2
Cmp-Att-Yd-TD-INT,18-33-168-0-0,15-27-159-0-1
Sacked-Yards,1-8,1-11
Net Pass Yards,160,148
Total Yards,320,293
Fumbles-Lost,1-0,2-0
Turnovers,0,1
Penalties-Yards,12-87,6-67
Third Down Conv.,2-16,3-13
Fourth Down Conv.,1-1,0-0
Time of Possession,32:27,33:13
