Unnamed: 0,MIA,BUF
First Downs,18,13
Rush-Yds-TDs,34-115-0,18-84-0
Cmp-Att-Yd-TD-INT,23-29-181-1-0,13-27-123-0-1
Sacked-Yards,1-1,4-44
Net Pass Yards,180,79
Total Yards,295,163
Fumbles-Lost,0-0,5-1
Turnovers,0,2
Penalties-Yards,5-28,3-25
Third Down Conv.,4-13,1-10
Fourth Down Conv.,1-1,1-2
Time of Possession,37:31,22:29
