Unnamed: 0,MIN,NOR
First Downs,13,27
Rush-Yds-TDs,22-59-0,32-108-1
Cmp-Att-Yd-TD-INT,17-30-203-0-0,27-35-293-2-0
Sacked-Yards,2-15,1-5
Net Pass Yards,188,288
Total Yards,247,396
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-44,4-30
Third Down Conv.,6-15,9-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:27,33:33
