Quarter,Time,Tm,Detail,MIN,NOR
1.0,9:36,Saints,Pierre Thomas 1 yard rush (Shayne Graham kick),0,7
,4:50,Saints,Josh Hill 34 yard pass from Drew Brees (Shayne Graham kick failed),0,13
2.0,14:06,Vikings,Blair Walsh 25 yard field goal,3,13
,6:28,Vikings,Blair Walsh 30 yard field goal,6,13
3.0,10:20,Vikings,Blair Walsh 40 yard field goal,9,13
4.0,12:22,Saints,Marques Colston 18 yard pass from Drew Brees (Shayne Graham kick),9,20
