Unnamed: 0,PIT,IND
First Downs,13,19
Rush-Yds-TDs,24-74-1,34-170-0
Cmp-Att-Yd-TD-INT,18-26-172-1-2,18-28-215-3-0
Sacked-Yards,4-30,3-13
Net Pass Yards,142,202
Total Yards,216,372
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,8-101,2-10
Third Down Conv.,4-12,6-15
Fourth Down Conv.,2-3,1-2
Time of Possession,26:40,33:20
