Quarter,Time,Tm,Detail,PIT,IND
1.0,1:12,Steelers,Mitchell Trubisky 1 yard rush (Chris Boswell kick failed),6,0
2.0,14:07,Steelers,Diontae Johnson 4 yard pass from Mitchell Trubisky (Chris Boswell kick),13,0
,11:21,Colts,Zack Moss 16 yard pass from Gardner Minshew II (Matt Gay kick),13,7
,0:22,Colts,D.J. Montgomery 14 yard pass from Gardner Minshew II (Matt Gay kick),13,14
3.0,13:16,Colts,Mo Alie-Cox 18 yard pass from Gardner Minshew II (Matt Gay kick),13,21
,9:02,Colts,Matt Gay 29 yard field goal,13,24
4.0,9:17,Colts,Matt Gay 31 yard field goal,13,27
,0:48,Colts,Matt Gay 42 yard field goal,13,30
