Unnamed: 0,DET,HOU
First Downs,19,20
Rush-Yds-TDs,14-58-0,31-105-1
Cmp-Att-Yd-TD-INT,27-41-240-1-0,20-29-186-1-1
Sacked-Yards,1-9,3-22
Net Pass Yards,231,164
Total Yards,289,269
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,8-75,6-49
Third Down Conv.,3-11,6-15
Fourth Down Conv.,0-1,1-1
Time of Possession,26:02,33:58
