Quarter,Time,Tm,Detail,DET,HOU
2.0,12:56,Texans,C.J. Fiedorowicz 6 yard pass from Brock Osweiler (Nick Novak kick),0,7
,7:04,Texans,Lamar Miller 1 yard rush (Nick Novak kick),0,14
,0:02,Lions,Matt Prater 47 yard field goal,3,14
3.0,5:51,Texans,Nick Novak 33 yard field goal,3,17
4.0,14:50,Lions,Theo Riddick 1 yard pass from Matthew Stafford (Matt Prater kick),10,17
,4:09,Texans,Nick Novak 36 yard field goal,10,20
,2:53,Lions,Matt Prater 34 yard field goal,13,20
