Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
1,3:20,2,5,HOU 44,0,0,Brock Osweiler pass incomplete short right intended for Lamar Miller,1.660,0.960
1,3:13,3,5,HOU 44,0,0,Brock Osweiler pass complete short middle to DeAndre Hopkins for 10 yards (tackle by Quandre Diggs),0.960,2.520
1,2:33,1,10,DET 46,0,0,Lamar Miller right guard for 2 yards (tackle by Stefan Charles),2.520,2.250
1,1:53,2,8,DET 44,0,0,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz,2.250,1.550
1,1:46,3,8,DET 44,0,0,Brock Osweiler pass complete deep right to Ryan Griffin for 23 yards (tackle by Rafael Bush),1.550,4.170
1,1:13,1,10,DET 21,0,0,Lamar Miller right tackle for -3 yards (tackle by Kerry Hyder),4.170,3.220
1,0:37,2,13,DET 24,0,0,Alfred Blue middle for 3 yards (tackle by Tahir Whitehead and Tyrunn Walker),3.220,2.940
Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,DET 21,0,0,Brock Osweiler pass complete short right to Ryan Griffin for 12 yards (tackle by Rafael Bush),2.940,5.140
2,14:21,1,9,DET 9,0,0,Alfred Blue right guard for 1 yard (tackle by Josh Bynes and Stefan Charles),5.140,4.570
2,13:47,2,8,DET 8,0,0,Alfred Blue left guard for 2 yards (tackle by Glover Quin),4.570,4.040
2,13:01,3,6,DET 6,0,6,"Brock Osweiler pass complete short left to C.J. Fiedorowicz for 6 yards, touchdown",4.040,7.000
2,13:01,,,DET 6,0,7,Nick Novak kicks extra point good,0.000,0.000
2,13:01,,,HOU 35,0,7,"Nick Novak kicks off 61 yards, returned by Andre Roberts for 56 yards (tackle by Andre Hal). Penalty on Antwione Williams: Offensive Holding, 10 yards",0.000,0.280
2,12:46,1,10,DET 14,0,7,Matthew Stafford pass incomplete short left intended for Golden Tate,-0.280,-0.750
2,12:42,2,10,DET 14,0,7,Zach Zenner right end for 2 yards (tackle by John Simon),-0.750,-1.160
2,11:58,3,8,DET 16,0,7,Matthew Stafford pass incomplete short left intended for Eric Ebron,-1.160,-2.390
2,11:52,4,8,DET 16,0,7,"Sam Martin punts 52 yards, returned by Tyler Ervin for 15 yards (tackle by Miles Killebrew)",-2.390,-2.060
2,11:38,1,10,HOU 47,0,7,Brock Osweiler pass complete short left to Ryan Griffin for -1 yards (tackle by Antwione Williams),2.060,1.380
2,10:54,2,11,HOU 46,0,7,Brock Osweiler pass incomplete short left intended for Will Fuller (defended by Nevin Lawson),1.380,0.700
2,10:50,3,11,HOU 46,0,7,Brock Osweiler pass complete short right to Stephen Anderson for 10 yards (tackle by Quandre Diggs),0.700,0.330
2,10:18,4,1,DET 44,0,7,Alfred Blue left guard for 2 yards (tackle by Kerry Hyder and Khyri Thornton),0.330,2.790
2,9:45,1,10,DET 42,0,7,Lamar Miller left guard for 2 yards (tackle by Tavon Wilson),2.790,2.510
2,9:06,2,8,DET 40,0,7,"Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz (defended by Tavon Wilson). Penalty on Tavon Wilson: Unnecessary Roughness, 15 yards, Penalty on Tahir Whitehead: Defensive Holding (Declined) (no play)",2.510,3.910
2,8:58,1,10,DET 25,0,7,Brock Osweiler pass incomplete deep right intended for DeAndre Hopkins,3.910,3.360
2,8:52,2,10,DET 25,0,7,Lamar Miller right guard for 5 yards (tackle by Quandre Diggs),3.360,3.340
2,8:30,3,5,DET 20,0,7,Brock Osweiler pass complete short right to Stephen Anderson for 7 yards (tackle by Miles Killebrew),3.340,4.710
2,7:50,1,10,DET 13,0,7,Brock Osweiler pass complete short middle to DeAndre Hopkins for 12 yards (tackle by Brandon Copeland and Tahir Whitehead),4.710,6.970
2,7:09,1,1,DET 1,0,13,"Lamar Miller right guard for 1 yard, touchdown",6.970,7.000
2,7:09,,,DET 1,0,14,Nick Novak kicks extra point good,0.000,0.000
2,7:09,,,HOU 35,0,14,"Nick Novak kicks off 58 yards, returned by Andre Roberts for 16 yards (tackle by Charles James)",0.000,-0.480
2,6:57,1,10,DET 23,0,14,Theo Riddick left end for 10 yards (tackle by A.J. Bouye),0.480,1.140
2,6:24,1,10,DET 33,0,14,Matthew Stafford pass complete short right to Golden Tate for 2 yards (tackle by Kareem Jackson),1.140,0.860
2,5:40,2,8,DET 35,0,14,"Matthew Stafford pass incomplete deep right intended for Golden Tate. Penalty on Riley Reiff: Offensive Holding, 10 yards (no play)",0.860,-0.490
2,5:34,2,18,DET 25,0,14,"Penalty on Marvin Jones: False Start, 5 yards (no play)",-0.490,-1.160
2,5:34,2,23,DET 20,0,14,Matthew Stafford pass complete short right to Golden Tate for 11 yards (tackle by Johnathan Joseph),-1.160,-0.360
2,4:59,3,12,DET 31,0,14,Matthew Stafford pass complete short right to Theo Riddick for 4 yards (tackle by John Simon),-0.360,-1.040
2,4:21,4,8,DET 35,0,14,"Sam Martin punts 44 yards, returned by Will Fuller for 3 yards (tackle by Miles Killebrew)",-1.040,-0.540
2,4:08,1,10,HOU 24,0,14,Brock Osweiler pass complete short right to DeAndre Hopkins for 14 yards (tackle by Johnson Bademosi),0.540,1.470
2,3:29,1,10,HOU 38,0,14,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 15 yards (tackle by Josh Bynes),1.470,2.460
2,3:02,1,10,DET 47,0,14,Alfred Blue right guard for 1 yard (tackle by A'Shawn Robinson and Stefan Charles),2.460,2.050
2,2:23,2,9,DET 46,0,14,Brock Osweiler pass incomplete deep right intended for Will Fuller,2.050,1.350
2,2:16,3,9,DET 46,0,14,Brock Osweiler pass complete short middle to Braxton Miller for -3 yards (tackle by Glover Quin and Ezekiel Ansah),1.350,0.000
2,2:00,4,12,DET 49,0,14,"Shane Lechler punts 40 yards, fair catch by Andre Roberts",0.000,0.380
2,1:53,1,10,DET 9,0,14,"Matthew Stafford pass incomplete short left intended for Marvin Jones (defended by A.J. Bouye). Penalty on A.J. Bouye: Defensive Pass Interference, 9 yards (no play)",-0.380,0.040
2,1:48,1,10,DET 18,0,14,Matthew Stafford pass incomplete short middle intended for Theo Riddick (defended by Corey Moore),0.040,-0.490
2,1:42,2,10,DET 18,0,14,Matthew Stafford pass incomplete short right intended for Eric Ebron,-0.490,-1.170
2,1:38,3,10,DET 18,0,14,Matthew Stafford sacked by Jadeveon Clowney for -9 yards,-1.170,-1.170
2,1:32,3,10,DET 18,0,14,Timeout #1 by Houston Texans,-1.170,-2.490
2,1:32,4,19,DET 9,0,14,"Sam Martin punts 43 yards, returned by Tyler Ervin for 8 yards (tackle by Don Carey)",-2.490,-2.650
2,1:21,1,10,DET 44,0,14,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 15 yards (tackle by Glover Quin),2.650,3.640
2,0:52,1,10,DET 29,0,14,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 2 yards (tackle by Tavon Wilson),3.640,3.640
2,0:52,1,10,DET 29,0,14,Timeout #2 by Houston Texans,3.640,3.370
2,0:45,2,8,DET 27,0,14,Brock Osweiler pass incomplete short right intended for Will Fuller,3.370,2.680
2,0:39,3,8,DET 27,0,14,Brock Osweiler pass incomplete short right intended for DeAndre Hopkins is intercepted by Johnson Bademosi at DET-16 and returned for 3 yards,2.680,-0.150
2,0:32,1,10,DET 19,0,14,Matthew Stafford pass complete short left to Theo Riddick for 5 yards (tackle by A.J. Bouye),0.150,0.340
2,0:26,2,5,DET 24,0,14,Matthew Stafford pass complete deep left to Eric Ebron for 34 yards (tackle by Corey Moore),0.340,0.340
2,0:18,2,5,DET 24,0,14,Timeout #1 by Detroit Lions,0.340,2.790
2,0:18,1,10,HOU 42,0,14,Matthew Stafford pass complete short left to Eric Ebron for 8 yards (tackle by Eddie Pleasant),2.790,3.320
2,0:13,2,2,HOU 34,0,14,Matthew Stafford pass complete short right to Eric Ebron for 5 yards (tackle by Kareem Jackson). Penalty on Jadeveon Clowney: Defensive Holding (Declined),3.320,3.640
2,0:06,1,10,HOU 29,3,14,Matt Prater 47 yard field goal good,3.640,3.000
2,0:02,1,10,HOU 29,3,14,Timeout #3 by Houston Texans,3.640,0.000
2,0:02,,,DET 35,3,14,"Sam Martin kicks off 35 yards, returned by Jay Prosch for 10 yards (tackle by Antwione Williams)",0.000,1.270
Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,3,14,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,HOU 25,3,14,"Brock Osweiler pass complete short right to Ryan Griffin for 5 yards (tackle by Antwione Williams). Penalty on Chris Clark: Illegal Formation, 5 yards (no play)",0.610,0.280
3,14:36,1,15,HOU 20,3,14,Lamar Miller right end for -3 yards (tackle by Tyrunn Walker),0.280,-1.150
3,13:58,2,18,HOU 17,3,14,Brock Osweiler pass complete short middle to Lamar Miller for 3 yards (tackle by Tahir Whitehead),-1.150,-1.290
3,13:15,3,15,HOU 20,3,14,Brock Osweiler pass complete short right to Braxton Miller for 12 yards (tackle by Kerry Hyder),-1.290,-1.240
3,12:37,4,3,HOU 32,3,14,"Shane Lechler punts 50 yards, returned by Andre Roberts for -3 yards (tackle by Robert Nelson)",-1.240,0.220
3,12:22,1,10,DET 15,3,14,"Theo Riddick left tackle for 3 yards (tackle by Brian Cushing). Penalty on Vince Wilfork: Defensive Holding, 5 yards",-0.220,0.480
3,12:02,1,10,DET 23,3,14,Theo Riddick left guard for 2 yards (tackle by Vince Wilfork),0.480,0.200
3,11:22,2,8,DET 25,3,14,Theo Riddick left end for 3 yards (tackle by Brian Cushing),0.200,-0.100
3,10:38,3,5,DET 28,3,14,Matthew Stafford pass incomplete short left intended for Marvin Jones,-0.100,-1.500
3,10:32,4,5,DET 28,3,14,"Sam Martin punts 42 yards, returned by Tyler Ervin for 9 yards (tackle by Zach Zenner)",-1.500,-1.530
3,10:21,1,10,HOU 39,3,14,Lamar Miller middle for 2 yards (tackle by Khyri Thornton),1.530,1.260
3,9:38,2,8,HOU 41,3,14,Brock Osweiler pass complete short left to Lamar Miller for 4 yards (tackle by Johnson Bademosi),1.260,1.090
3,9:04,3,4,HOU 45,3,14,Jonathan Grimes middle for 5 yards (tackle by Ezekiel Ansah),1.090,2.260
3,8:21,1,10,,3,14,Brock Osweiler pass incomplete short right intended for DeAndre Hopkins (defended by Johnson Bademosi),2.260,1.710
3,8:07,2,10,,3,14,"Brock Osweiler pass incomplete short middle intended for DeAndre Hopkins (defended by Glover Quin). Penalty on Glover Quin: Defensive Pass Interference, 10 yards (no play)",1.710,2.920
3,8:02,1,10,DET 40,3,14,Brock Osweiler pass complete deep middle to Will Fuller for 23 yards (tackle by Tahir Whitehead),2.920,4.440
3,7:16,1,10,DET 17,3,14,Lamar Miller middle for -3 yards (tackle by Tavon Wilson and Tyrunn Walker),4.440,3.490
3,6:37,2,13,DET 20,3,14,Lamar Miller right guard for 5 yards (tackle by Glover Quin),3.490,3.340
3,5:58,3,8,DET 15,3,14,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz,3.340,2.440
3,5:54,4,8,DET 15,3,17,Nick Novak 33 yard field goal good,2.440,3.000
3,5:54,,,HOU 35,3,17,"Nick Novak kicks off 66 yards, returned by Andre Roberts for 26 yards (tackle by Robert Nelson)",0.000,-0.610
3,5:43,1,10,DET 25,3,17,Matthew Stafford pass incomplete deep right intended for Marvin Jones,0.610,0.060
3,5:38,2,10,DET 25,3,17,Matthew Stafford pass complete short middle to Theo Riddick for 19 yards (tackle by Benardrick McKinney),0.060,1.860
3,5:00,1,10,DET 44,3,17,Theo Riddick right end for 2 yards (tackle by John Simon),1.860,1.590
3,4:18,2,8,DET 46,3,17,Matthew Stafford pass complete short right to Theo Riddick for 9 yards (tackle by Brian Cushing),1.590,2.590
3,3:54,1,10,HOU 45,3,17,Zach Zenner middle for 1 yard (tackle by John Simon and Benardrick McKinney),2.590,2.180
3,3:09,2,9,HOU 44,3,17,Matthew Stafford pass complete short left to Zach Zenner for 5 yards (tackle by Kareem Jackson),2.180,2.150
3,2:29,3,4,HOU 39,3,17,Matthew Stafford pass complete short left to Marvin Jones for 11 yards (tackle by John Simon),2.150,3.710
3,1:50,1,10,HOU 28,3,17,Matthew Stafford pass incomplete deep left intended for Marvin Jones (defended by A.J. Bouye),3.710,3.170
3,1:44,2,10,HOU 28,3,17,Zach Zenner middle for -1 yards (tackle by D.J. Reader and Jadeveon Clowney),3.170,2.340
3,1:03,3,11,HOU 29,3,17,Matthew Stafford pass complete short middle to Eric Ebron for 11 yards (tackle by Corey Moore),2.340,4.370
3,0:19,1,10,HOU 18,3,17,Matthew Stafford pass incomplete short left intended for Marvin Jones (defended by Corey Moore),4.370,3.800
3,0:14,2,10,HOU 18,3,17,Matthew Stafford pass complete short right to Eric Ebron for 4 yards (tackle by Brian Cushing),3.800,3.630
Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,HOU 14,3,17,"Matthew Stafford pass incomplete short left intended for Eric Ebron. Penalty on Corey Moore: Defensive Pass Interference, 13 yards (no play)",3.630,6.970
4,14:55,1,1,HOU 1,9,17,"Matthew Stafford pass complete short right to Theo Riddick for 1 yard, touchdown",6.970,7.000
4,14:55,,,HOU 1,10,17,Matt Prater kicks extra point good,0.000,0.000
4,14:55,,,DET 35,10,17,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
4,14:50,1,10,HOU 25,10,17,Alfred Blue right end for 1 yard (tackle by Tavon Wilson and A'Shawn Robinson),0.610,0.200
4,14:10,2,9,HOU 26,10,17,Brock Osweiler sacked by A'Shawn Robinson for -5 yards,0.200,-1.150
4,13:27,3,14,HOU 21,10,17,Jonathan Grimes right end for 6 yards (tackle by Miles Killebrew and Tahir Whitehead),-1.150,-1.570
4,12:51,4,8,HOU 27,10,17,"Shane Lechler punts 59 yards, returned by Andre Roberts for 8 yards (tackle by Don Jones)",-1.570,-0.410
4,12:36,1,10,DET 22,10,17,Matthew Stafford pass complete short right to Golden Tate for -1 yards (tackle by Kareem Jackson),0.410,-0.270
4,11:56,2,11,DET 21,10,17,"Matthew Stafford pass complete short right to Theo Riddick for 1 yard (tackle by Brian Cushing). Penalty on Graham Glasgow: Illegal Block Above the Waist, 10 yards (no play)",-0.270,-1.580
4,11:33,2,21,DET 11,10,17,Theo Riddick right end for 3 yards (tackle by John Simon),-1.580,-2.240
4,10:51,3,18,DET 14,10,17,Matthew Stafford pass complete short left to Theo Riddick for 9 yards (tackle by Kareem Jackson),-2.240,-1.830
4,10:24,4,9,DET 23,10,17,"Sam Martin punts 42 yards, muffed catch by Tyler Ervin, ball out of bounds at HOU-35",-1.830,-1.270
4,10:14,1,10,HOU 35,10,17,Lamar Miller middle for 8 yards (tackle by Tavon Wilson and Rafael Bush),1.270,1.800
4,9:37,2,2,HOU 43,10,17,Lamar Miller middle for 8 yards (tackle by Tahir Whitehead),1.800,2.320
4,8:56,1,10,DET 49,10,17,Alfred Blue middle for 10 yards (tackle by Nevin Lawson and A'Shawn Robinson),2.320,2.980
4,8:10,1,10,DET 39,10,17,Brock Osweiler pass complete short left to DeAndre Hopkins for 8 yards (tackle by Johnson Bademosi),2.980,3.520
4,7:34,2,2,DET 31,10,17,Alfred Blue left tackle for 19 yards (tackle by Tavon Wilson),3.520,4.780
4,6:48,1,10,DET 12,10,17,Alfred Blue right guard for 2 yards (tackle by Tavon Wilson),4.780,4.450
4,6:10,2,8,DET 10,10,17,"Alfred Blue right guard for 9 yards (tackle by Glover Quin and Brandon Copeland). Penalty on Xavier Su'a-Filo: Offensive Holding, 10 yards (no play)",4.450,3.140
4,5:38,2,18,DET 20,10,17,Brock Osweiler pass complete short left to Braxton Miller for 9 yards (tackle by Tavon Wilson),3.140,3.290
4,5:00,3,9,DET 11,10,17,Brock Osweiler sacked by Khyri Thornton for -7 yards,3.290,2.250
4,4:14,4,16,DET 18,10,20,Nick Novak 36 yard field goal good,2.250,3.000
4,4:14,,,HOU 35,10,20,"Nick Novak kicks off 62 yards, returned by Andre Roberts for 42 yards (tackle by Charles James)",0.000,-1.930
4,4:00,1,10,DET 45,10,20,Matthew Stafford pass complete short left to Marvin Jones for 11 yards (tackle by A.J. Bouye),1.930,2.650
4,3:54,1,10,HOU 44,10,20,Matthew Stafford pass complete short left to Theo Riddick for 23 yards (tackle by Jadeveon Clowney),2.650,4.170
4,3:45,1,10,HOU 21,10,20,Matthew Stafford pass incomplete short right intended for Eric Ebron (defended by Benardrick McKinney),4.170,3.630
4,3:42,2,10,HOU 21,10,20,Matthew Stafford pass incomplete short left intended for Theo Riddick,3.630,2.940
4,3:39,3,10,HOU 21,10,20,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Eddie Pleasant),2.940,2.430
4,2:57,4,5,HOU 16,13,20,Matt Prater 34 yard field goal good,2.430,3.000
4,2:57,,,DET 35,13,20,"Sam Martin kicks onside 9 yards, recovered by Robert Nelson",0.000,-2.650
4,2:52,1,10,DET 44,13,20,Lamar Miller middle for 3 yards (tackle by Glover Quin and Khyri Thornton),2.650,2.650
4,2:47,1,10,DET 44,13,20,Timeout #1 by Detroit Lions,2.650,2.520
4,2:47,2,7,DET 41,13,20,Lamar Miller right guard for 10 yards (tackle by Nevin Lawson and Glover Quin),2.520,2.520
4,2:42,2,7,DET 41,13,20,Timeout #2 by Detroit Lions,2.520,3.510
4,2:42,1,10,DET 31,13,20,Lamar Miller middle for 6 yards (tackle by Antwione Williams),3.510,3.510
4,2:37,1,10,DET 31,13,20,Timeout #3 by Detroit Lions,3.510,3.780
4,2:37,2,4,DET 25,13,20,Lamar Miller left guard for 6 yards (tackle by Josh Bynes),3.780,4.310
4,2:00,1,10,DET 19,13,20,Brock Osweiler kneels for -1 yards,4.310,3.630
4,1:19,2,11,DET 20,13,20,Brock Osweiler kneels for -1 yards,3.630,2.810
4,0:38,3,12,DET 21,13,20,Brock Osweiler kneels for -1 yards,2.810,1.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
