Quarter,Time,Tm,Detail,OAK,SDG
2.0,14:14,Raiders,ReShard Lee 1 yard rush (Sebastian Janikowski kick),7,0
,13:27,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),7,7
3.0,7:40,Raiders,John Madsen 2 yard pass from Aaron Brooks (Sebastian Janikowski kick),14,7
4.0,9:46,Chargers,Antonio Gates 19 yard pass from LaDainian Tomlinson (Nate Kaeding kick),14,14
,3:39,Chargers,LaDainian Tomlinson 10 yard rush (Nate Kaeding kick),14,21
