Unnamed: 0,OAK,SDG
First Downs,15,15
Rush-Yds-TDs,26-84-1,25-110-2
Cmp-Att-Yd-TD-INT,17-30-187-1-2,15-32-152-1-1
Sacked-Yards,5-26,1-2
Net Pass Yards,161,150
Total Yards,245,260
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,8-56,5-49
Third Down Conv.,5-15,2-11
Fourth Down Conv.,1-2,1-2
Time of Possession,32:25,27:35
