Unnamed: 0,MIA,BUF
First Downs,12,13
Rush-Yds-TDs,28-112-0,37-100-0
Cmp-Att-Yd-TD-INT,14-33-118-0-2,13-19-200-3-0
Sacked-Yards,2-18,3-14
Net Pass Yards,100,186
Total Yards,212,286
Fumbles-Lost,1-0,3-2
Turnovers,2,2
Penalties-Yards,2-25,5-17
Third Down Conv.,4-16,6-15
Fourth Down Conv.,1-3,0-0
Time of Possession,28:20,31:40
