Quarter,Time,Tm,Detail,MIA,BUF
2,4:40,Bills,Robert Royal 33 yard pass from J.P. Losman (Rian Lindell kick),0,7
3,8:06,Bills,Josh Reed 27 yard pass from J.P. Losman (Rian Lindell kick),0,14
4,10:21,Bills,Lee Evans 21 yard pass from J.P. Losman (Rian Lindell kick),0,21
