Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 67 yards, returned by Desmond King for 25 yards (tackle by Byron Pringle and Anthony Sherman)",0.000,0.480
1,14:55,1,10,LAC 23,0,0,Philip Rivers pass complete short right to Hunter Henry for 16 yards (tackle by Reggie Ragland),0.480,1.530
1,14:13,1,10,LAC 39,0,0,Philip Rivers pass complete short right to Keenan Allen for 5 yards,1.530,1.660
1,13:46,2,5,LAC 44,0,0,Melvin Gordon right tackle for 2 yards (tackle by Reggie Ragland and Damien Wilson),1.660,1.220
1,13:05,3,3,LAC 46,0,0,Melvin Gordon up the middle for 5 yards (tackle by Anthony Hitchens),1.220,2.320
1,12:29,1,10,KAN 49,0,0,Philip Rivers pass complete short right to Austin Ekeler for 37 yards (tackle by Juan Thornhill),2.320,4.780
1,11:42,1,10,KAN 12,0,0,Austin Ekeler right tackle for 1 yard (tackle by Frank Clark and Anthony Hitchens),4.780,4.270
1,11:00,2,9,KAN 11,0,0,Melvin Gordon up the middle for -3 yards (tackle by Mike Pennel),4.270,3.060
1,10:18,3,12,KAN 14,0,0,Philip Rivers pass complete short middle to Keenan Allen for 5 yards (tackle by Daniel Sorensen),3.060,2.830
1,9:34,4,7,KAN 9,0,3,Michael Badgley 27 yard field goal good,2.830,3.000
1,9:31,,,LAC 35,0,3,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,9:31,1,10,KAN 25,0,3,Damien Williams left tackle for 3 yards (tackle by Justin Jones),0.610,0.470
1,8:55,2,7,KAN 28,0,3,Patrick Mahomes pass incomplete short left intended for Tyreek Hill,0.470,-0.230
1,8:51,3,7,KAN 28,0,3,Patrick Mahomes pass complete short left to Sammy Watkins for 11 yards (tackle by Jatavis Brown),-0.230,1.530
1,8:32,1,10,KAN 39,0,3,Patrick Mahomes pass incomplete short left intended for Sammy Watkins (defended by Michael Davis),1.530,0.990
1,8:29,2,10,KAN 39,0,3,"Patrick Mahomes pass complete short right to Demarcus Robinson for 13 yards (tackle by Casey Hayward). Penalty on Damien Williams: Offensive Holding, 10 yards (no play)",0.990,-0.360
1,8:03,2,20,KAN 29,0,3,Patrick Mahomes pass incomplete deep middle intended for Tyreek Hill,-0.360,-1.020
1,7:56,,,,,,Timeout #1 by Los Angeles Chargers,,
1,7:56,3,20,KAN 29,0,3,Patrick Mahomes pass incomplete deep middle intended for Deon Yelder,-1.020,-1.440
1,7:49,4,20,KAN 29,0,3,Dustin Colquitt punts 31 yards downed by Darron Lee,-1.440,-1.600
1,7:38,1,10,LAC 40,0,3,Melvin Gordon right guard for 9 yards (tackle by Daniel Sorensen and Anthony Hitchens),1.600,2.270
1,7:19,2,1,LAC 49,0,3,Melvin Gordon left guard for 3 yards (tackle by Khalen Saunders and Charvarius Ward),2.270,2.390
1,6:48,1,10,KAN 48,0,3,Melvin Gordon right end for 21 yards (tackle by Juan Thornhill and Bashaud Breeland),2.390,3.780
1,6:02,1,10,KAN 27,0,3,Austin Ekeler left tackle for 2 yards (tackle by Tyrann Mathieu and Tanoh Kpassagnon),3.780,3.500
1,5:31,2,8,KAN 25,0,3,Philip Rivers pass complete short right to Austin Ekeler for 3 yards (tackle by Damien Wilson),3.500,3.200
1,4:45,3,5,KAN 22,0,3,Philip Rivers pass incomplete short left intended for Troymaine Pope,3.200,2.040
1,4:41,4,5,KAN 22,0,3,"Michael Badgley 40 yard field goal no good. Penalty on Chris Jones: Unnecessary Roughness, 15 yards",2.040,0.220
1,4:37,1,10,KAN 15,0,3,Patrick Mahomes pass complete short left to Mecole Hardman for 4 yards (tackle by Jaylen Watkins),-0.220,-0.110
1,3:59,2,6,KAN 19,0,3,Damien Williams up the middle for -1 yards (tackle by Damion Square),-0.110,-1.000
1,3:14,3,7,KAN 18,0,3,Patrick Mahomes right end for 24 yards (tackle by Jaylen Watkins),-1.000,1.730
1,2:56,1,10,KAN 42,0,3,LeSean McCoy up the middle for 3 yards (tackle by Thomas Davis),1.730,1.590
1,2:18,2,7,KAN 45,0,3,Patrick Mahomes pass deep right intended for Demarcus Robinson is intercepted by Rayshawn Jenkins at LAC-27 and returned for 2 yards,1.590,-0.870
1,2:10,1,10,LAC 29,0,3,Philip Rivers pass complete short left to Austin Ekeler for 7 yards (tackle by Damien Wilson),0.870,1.270
1,1:29,2,3,LAC 36,0,3,Philip Rivers sacked by Mike Pennel for -8 yards,1.270,-0.490
1,0:43,3,11,LAC 28,0,3,Philip Rivers pass complete short middle to Melvin Gordon for 12 yards (tackle by Morris Claiborne),-0.490,1.600
1,0:07,1,10,LAC 40,0,3,Austin Ekeler right guard for 4 yards (tackle by Bashaud Breeland and Damien Wilson),1.600,1.590
Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAC 44,0,3,Philip Rivers pass complete short right to Keenan Allen for 30 yards (tackle by Bashaud Breeland),1.590,3.840
2,14:16,1,10,KAN 26,0,3,Melvin Gordon left guard for 1 yard (tackle by Anthony Hitchens and Khalen Saunders),3.840,3.430
2,13:34,2,9,KAN 25,0,3,Philip Rivers pass short middle (defended by Frank Clark) intended for Keenan Allen is intercepted by Derrick Nnadi at KC-31 and returned for no gain,3.430,-1.000
2,13:29,1,10,KAN 31,0,3,"Patrick Mahomes up the middle for 7 yards (tackle by Thomas Davis). Penalty on Deon Yelder: Illegal Formation, 5 yards (no play)",1.000,0.670
2,13:10,1,15,KAN 26,0,3,Damien Williams left guard for 3 yards (tackle by Thomas Davis and Jaylen Watkins),0.670,0.190
2,12:31,2,12,KAN 29,0,3,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,0.190,-0.490
2,12:26,3,12,KAN 29,0,3,Patrick Mahomes pass complete short middle to Byron Pringle for 9 yards (tackle by Thomas Davis),-0.490,-0.850
2,11:43,4,3,KAN 38,0,3,"Dustin Colquitt punts 55 yards, muffed catch by Desmond King, recovered by Desmond King at LAC-8",-0.850,0.380
2,11:33,1,10,LAC 8,0,3,Philip Rivers pass complete short right to Keenan Allen for 6 yards (tackle by Reggie Ragland),-0.380,-0.320
2,10:52,2,4,LAC 14,0,3,Melvin Gordon left tackle for 11 yards (tackle by Tanoh Kpassagnon and Daniel Sorensen),-0.320,0.610
2,10:13,1,10,LAC 25,0,3,"Melvin Gordon right tackle for 2 yards (tackle by Damien Wilson and Tyrann Mathieu). Penalty on Andre Patton: Offensive Holding, 10 yards",0.610,-0.150
2,9:48,1,18,LAC 17,0,3,Philip Rivers pass complete short middle to Hunter Henry for 10 yards (tackle by Tyrann Mathieu and Anthony Hitchens),-0.150,0.330
2,9:08,2,8,LAC 27,0,3,Philip Rivers pass incomplete deep left intended for Mike Williams (defended by Charvarius Ward),0.330,-0.360
2,9:01,3,8,LAC 27,0,3,Philip Rivers pass short middle intended for Keenan Allen is intercepted by Tyrann Mathieu at LAC-41 and returned for 35 yards,-0.360,-5.830
2,8:50,1,6,LAC 6,6,3,"LeSean McCoy right tackle for 6 yards, touchdown",5.830,7.000
2,8:45,,,LAC 15,7,3,Harrison Butker kicks extra point good,0.000,0.000
2,8:45,,,KAN 35,7,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,8:45,1,10,LAC 25,7,3,Philip Rivers pass complete short middle to Melvin Gordon for no gain (tackle by Bashaud Breeland),0.610,0.060
2,8:07,2,10,LAC 25,7,3,Philip Rivers pass complete short right to Virgil Green for 8 yards (tackle by Daniel Sorensen),0.060,0.430
2,7:23,3,2,LAC 33,7,3,Philip Rivers pass complete deep left to Mike Williams for 26 yards (tackle by Daniel Sorensen),0.430,2.850
2,6:42,1,10,KAN 41,7,3,Philip Rivers pass complete short middle to Hunter Henry for 15 yards (tackle by Daniel Sorensen),2.850,3.840
2,6:05,1,10,KAN 26,7,3,Austin Ekeler left end for 18 yards (tackle by Anthony Hitchens and Jordan Lucas),3.840,5.370
2,5:15,1,8,KAN 8,7,3,Philip Rivers pass incomplete short middle intended for Hunter Henry,5.370,4.570
