Quarter,Time,Tm,Detail,KAN,LAC
1.0,9:31,Chargers,Michael Badgley 27 yard field goal,0,3
2.0,8:45,Chiefs,LeSean McCoy 6 yard rush (Harrison Butker kick),7,3
,5:01,Chargers,Michael Badgley 26 yard field goal,7,6
,1:43,Chiefs,Harrison Butker 41 yard field goal,10,6
,0:00,Chargers,Michael Badgley 49 yard field goal,10,9
3.0,9:29,Chiefs,Darrel Williams 6 yard rush (Harrison Butker kick),17,9
,4:56,Chiefs,Travis Kelce 23 yard pass from Patrick Mahomes (Harrison Butker kick),24,9
,1:44,Chargers,Keenan Allen 7 yard pass from Philip Rivers (Hunter Henry pass from Philip Rivers),24,17
