Unnamed: 0,KAN,LAC
First Downs,18,23
Rush-Yds-TDs,27-130-2,19-93-0
Cmp-Att-Yd-TD-INT,19-32-182-1-1,28-52-353-1-4
Sacked-Yards,1-2,2-8
Net Pass Yards,180,345
Total Yards,310,438
Fumbles-Lost,1-0,3-0
Turnovers,1,4
Penalties-Yards,8-102,9-60
Third Down Conv.,6-13,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,28:58,31:02
