Quarter,Time,Tm,Detail,WAS,DAL
1.0,8:30,Cowboys,Greg Zuerlein 33 yard field goal,0,3
,1:37,Washington,Antonio Gibson 5 yard rush (Dustin Hopkins kick),7,3
2.0,14:08,Cowboys,Amari Cooper 54 yard pass from Andy Dalton (Greg Zuerlein kick),7,10
,7:13,Washington,Dustin Hopkins 23 yard field goal,10,10
,2:26,Washington,Logan Thomas 5 yard pass from Alex Smith (Dustin Hopkins kick),17,10
,0:19,Cowboys,Greg Zuerlein 32 yard field goal,17,13
3.0,10:48,Washington,Dustin Hopkins 36 yard field goal,20,13
,2:32,Cowboys,Greg Zuerlein 28 yard field goal,20,16
4.0,12:07,Washington,Antonio Gibson 23 yard rush (Dustin Hopkins kick),27,16
,3:31,Washington,Antonio Gibson 37 yard rush (Dustin Hopkins kick),34,16
,3:24,Washington,Montez Sweat 15 yard interception return (Dustin Hopkins kick),41,16
