Unnamed: 0,WAS,DAL
First Downs,22,13
Rush-Yds-TDs,36-182-3,18-60-0
Cmp-Att-Yd-TD-INT,20-27-177-1-1,25-35-215-1-1
Sacked-Yards,3-21,4-28
Net Pass Yards,156,187
Total Yards,338,247
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,5-53,5-45
Third Down Conv.,7-13,4-13
Fourth Down Conv.,1-1,1-4
Time of Possession,35:56,24:04
