Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Antonio Gibson,WAS,20,115,3,5,85,4.3,30,1.5,1,20.0
Peyton Barber,WAS,11,57,0,7,37,3.4,20,1.8,0,
Alex Smith,WAS,3,1,0,0,1,0.3,0,0.0,0,
J.D. McKissic,WAS,1,6,0,1,5,5.0,1,1.0,0,
Logan Thomas,WAS,1,3,0,1,0,0.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,10,32,0,2,7,0.7,25,2.5,0,
Tony Pollard,DAL,4,12,0,1,2,0.5,10,2.5,1,4.0
Andy Dalton,DAL,3,17,0,3,17,5.7,0,0.0,0,
Cedrick Wilson Jr.,DAL,1,-1,0,,-1,-1.0,0,0.0,0,
