Unnamed: 0,NOR,DET
First Downs,24,16
Rush-Yds-TDs,16-110-1,30-85-0
Cmp-Att-Yd-TD-INT,27-48-269-2-2,20-35-267-1-0
Sacked-Yards,3-22,0-0
Net Pass Yards,247,267
Total Yards,357,352
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,6-38,5-44
Third Down Conv.,7-13,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,26:23,33:37
