Quarter,Time,Tm,Detail,KAN,IND
2.0,8:55,Chiefs,Dave Rayner 47 yard field goal,3,0
,1:18,Colts,Adam Vinatieri 27 yard field goal,3,3
3.0,7:17,Colts,Joseph Addai 3 yard rush (Adam Vinatieri kick),3,10
,1:22,Chiefs,Dwayne Bowe 19 yard pass from Brodie Croyle (Dave Rayner kick),10,10
4.0,0:03,Colts,Adam Vinatieri 24 yard field goal,10,13
