Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
1,0:47,2,2,KAN 36,0,0,Priest Holmes middle for 10 yards (tackle by Rocky Boiman),1.340,1.990
1,0:11,1,10,KAN 46,0,0,Brodie Croyle pass incomplete short right intended for Priest Holmes,1.990,1.450
1,0:05,2,10,KAN 46,0,0,Priest Holmes middle for 6 yards (tackle by Marlin Jackson and Bob Sanders),1.450,1.550
Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,IND 48,0,0,Brodie Croyle pass complete short left to Kris Wilson for 6 yards (tackle by Freddy Keiaho),1.550,2.790
2,14:23,1,10,IND 42,0,0,Brodie Croyle pass complete short left to Dwayne Bowe for 7 yards (tackle by Rocky Boiman),2.790,3.190
2,14:02,2,3,IND 35,0,0,Priest Holmes middle for 3 yards (tackle by Freddy Keiaho),3.190,3.450
2,13:17,1,10,IND 32,0,0,Brodie Croyle pass complete short right to Dwayne Bowe for 7 yards (tackle by Bob Sanders and Kelvin Hayden),3.450,3.850
2,12:41,2,3,IND 25,0,0,"Penalty on Jason Dunn: False Start, 5 yards (no play)",3.850,3.170
2,12:17,2,8,IND 30,0,0,Priest Holmes left tackle for 4 yards (tackle by Antoine Bethea),3.170,3.010
2,11:44,3,4,IND 26,0,0,Priest Holmes left end for 1 yard (tackle by Gary Brackett),3.010,1.900
2,11:07,4,3,IND 25,0,0,Dave Rayner 43 yard field goal no good,1.900,-1.140
2,11:02,1,10,IND 33,0,0,Peyton Manning pass incomplete short left intended for Dallas Clark is intercepted by Jarrad Page at IND-37,1.140,-3.120
2,10:57,1,10,IND 37,0,0,Priest Holmes middle for 5 yards (tackle by Kelvin Hayden and Rocky Boiman),3.120,3.250
2,10:20,2,5,IND 32,0,0,Brodie Croyle pass complete short right to Eddie Kennison for 4 yards (tackle by Kelvin Hayden),3.250,3.070
2,9:41,3,1,IND 28,0,0,Priest Holmes left end for -1 yards (tackle by Kelvin Hayden),3.070,1.600
2,9:00,4,2,IND 29,3,0,Dave Rayner 47 yard field goal good,1.600,3.000
2,,,,KAN 30,3,0,"Dave Rayner kicks off 72 yards, returned by Craphonso Thorpe for 23 yards (tackle by Tyron Brackenridge)",0.000,0.340
2,8:50,1,10,IND 21,3,0,Peyton Manning sacked by Ron Edwards for -6 yards,0.340,-1.140
2,8:17,2,16,IND 15,3,0,Joseph Addai middle for no gain (tackle by Jimmy Wilkerson),-1.140,-1.960
2,7:40,3,16,IND 15,3,0,Peyton Manning pass incomplete deep right intended for Reggie Wayne (defended by Bernard Pollard),-1.960,-2.440
2,7:35,4,16,IND 15,3,0,"Hunter Smith punts 41 yards, returned by Eddie Kennison for 7 yards (tackle by Melvin Bullitt)",-2.440,-2.320
2,7:26,1,10,IND 49,3,0,Brodie Croyle pass complete short right to Jeff Webb for 5 yards (tackle by Kelvin Hayden and Freddy Keiaho),2.320,2.460
2,6:44,2,5,IND 44,3,0,Brodie Croyle pass complete short right to Tony Gonzalez for 13 yards (tackle by Bob Sanders and Antoine Bethea),2.460,3.510
2,5:57,1,10,IND 31,3,0,Brodie Croyle pass incomplete deep right intended for Samie Parker,3.510,2.970
2,5:49,2,10,IND 31,3,0,Priest Holmes middle for 3 yards (tackle by Edward Johnson),2.970,2.680
2,5:08,3,7,IND 28,3,0,Brodie Croyle pass incomplete short left intended for Dwayne Bowe,2.680,1.590
2,5:02,4,7,IND 28,3,0,Dave Rayner 45 yard field goal no good,1.590,-1.330
2,4:56,1,10,IND 36,3,0,Joseph Addai left end for 4 yards (tackle by Turk McBride),1.330,1.330
2,4:20,2,6,IND 40,3,0,Peyton Manning pass incomplete short left intended for Dallas Clark (defended by Jared Allen),1.330,0.630
2,4:16,3,6,IND 40,3,0,Peyton Manning pass incomplete short middle intended for Dallas Clark,0.630,-0.720
2,4:12,4,6,IND 40,3,0,"Hunter Smith punts 38 yards, fair catch by Eddie Kennison",-0.720,-0.410
2,4:04,1,10,KAN 22,3,0,Priest Holmes right tackle for 2 yards (tackle by Freddy Keiaho and Robert Mathis),0.410,0.140
2,3:29,2,8,KAN 24,3,0,Priest Holmes middle for 3 yards (tackle by Raheem Brock),0.140,-0.160
2,2:48,3,5,KAN 27,3,0,"Brodie Croyle sacked by Robert Mathis for -7 yards. Brodie Croyle fumbles (forced by Robert Mathis), recovered by Keyunta Dawson at KAN-23 and returned for 10 yards (tackle by Chris Terry)",-0.160,-4.710
2,2:40,1,10,KAN 13,3,0,Peyton Manning pass complete short left to Dallas Clark for 2 yards (tackle by Jarrad Page),4.710,4.390
2,2:08,2,8,KAN 11,3,0,Joseph Addai middle for 3 yards (tackle by Donnie Edwards),4.390,4.100
2,2:00,3,5,KAN 8,3,0,"Penalty on Ben Utecht: False Start, 5 yards (no play)",4.100,3.120
2,2:00,3,10,KAN 13,3,0,Peyton Manning pass complete short left to Joseph Addai for 4 yards (tackle by Tamba Hali),3.120,2.850
2,1:21,4,6,KAN 9,3,3,Adam Vinatieri 27 yard field goal good,2.850,3.000
2,,,,IND 30,3,3,"Adam Vinatieri kicks off 63 yards, returned by Jeff Webb for 16 yards (tackle by Darrell Reid)",0.000,0.480
2,1:15,1,10,KAN 23,3,3,Kolby Smith middle for 4 yards (tackle by Freddy Keiaho and Robert Mathis),0.480,0.470
2,0:42,2,6,KAN 27,3,3,Kolby Smith middle for 5 yards (tackle by Keyunta Dawson),0.470,0.430
Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,3,3,"Dave Rayner kicks off 67 yards, returned by Craphonso Thorpe for 21 yards (tackle by Jimmy Wilkerson)",0.000,0.540
3,14:55,1,10,IND 24,3,3,Joseph Addai right end for 4 yards (tackle by Ty Law),0.540,0.540
3,14:26,2,6,IND 28,3,3,Peyton Manning pass incomplete deep left intended for Aaron Moorehead,0.540,-0.160
3,14:21,3,6,IND 28,3,3,Peyton Manning pass incomplete short middle intended for Aaron Moorehead,-0.160,-1.500
3,14:16,4,6,IND 28,3,3,Hunter Smith punts 38 yards,-1.500,-1.200
3,14:09,1,10,KAN 34,3,3,Brodie Croyle pass complete short left to Dwayne Bowe for no gain,1.200,0.660
3,13:33,2,10,KAN 34,3,3,"Brodie Croyle middle for 4 yards (tackle by Freddy Keiaho). Penalty on John Welbourn: Offensive Holding, 10 yards (no play)",0.660,-0.690
3,13:08,2,20,KAN 24,3,3,Priest Holmes middle for 3 yards (tackle by Bob Sanders),-0.690,-0.960
3,12:31,3,17,KAN 27,3,3,Brodie Croyle pass incomplete short middle intended for Priest Holmes,-0.960,-1.570
3,12:22,4,17,KAN 27,3,3,"Dustin Colquitt punts 44 yards, returned by T.J. Rushing for 7 yards (tackle by Tyron Brackenridge)",-1.570,-1.330
3,12:10,1,10,IND 36,3,3,Peyton Manning pass complete short right to Joseph Addai for 4 yards (tackle by Ty Law),1.330,1.330
3,11:37,2,6,IND 40,3,3,Peyton Manning pass complete short middle to Joseph Addai for 9 yards (tackle by Napoleon Harris),1.330,2.190
3,11:06,1,10,IND 49,3,3,Joseph Addai middle for 7 yards (tackle by Bernard Pollard),2.190,2.590
3,10:36,2,3,KAN 44,3,3,Joseph Addai middle for 2 yards (tackle by Napoleon Harris),2.590,2.150
3,9:59,3,1,KAN 42,3,3,Joseph Addai left tackle for 6 yards (tackle by Tamba Hali),2.150,3.180
3,9:23,1,10,KAN 36,3,3,Peyton Manning pass complete short middle to Kenton Keith for 7 yards (tackle by Donnie Edwards),3.180,3.580
3,8:44,2,3,KAN 29,3,3,Peyton Manning pass complete short right to Craphonso Thorpe for 6 yards (tackle by Ty Law),3.580,4.040
3,8:09,1,10,KAN 23,3,3,"Joseph Addai left end for 17 yards (tackle by Bernard Pollard). Penalty on Bernard Pollard: Personal Foul, 3 yards",4.040,6.510
3,7:22,1,3,KAN 3,3,9,"Joseph Addai middle for 3 yards, touchdown",6.510,7.000
3,,,,KAN 2,3,10,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,3,10,"Adam Vinatieri kicks off 70 yards, returned by Jeff Webb for 23 yards (tackle by Jeff Charleston)",0.000,0.480
3,7:12,1,10,KAN 23,3,10,Priest Holmes left tackle for 2 yards (tackle by Rocky Boiman),0.480,0.200
3,6:35,2,8,KAN 25,3,10,Kolby Smith left tackle for 2 yards (tackle by Freddy Keiaho and Josh Thomas),0.200,-0.230
3,5:49,3,6,KAN 27,3,10,Brodie Croyle pass complete short left to Kolby Smith for 7 yards (tackle by Gary Brackett),-0.230,1.200
3,5:08,1,10,KAN 34,3,10,Brodie Croyle pass incomplete short left intended for Samie Parker,1.200,0.660
3,5:05,2,10,KAN 34,3,10,"Brodie Croyle pass incomplete short left intended for Dwayne Bowe. Penalty on Raheem Brock: Defensive Offside, 5 yards (no play)",0.660,1.330
3,5:01,2,5,KAN 39,3,10,Brodie Croyle pass complete short right to Kris Wilson for 4 yards (tackle by Freddy Keiaho and Kelvin Hayden),1.330,1.160
3,4:13,3,1,KAN 43,3,10,Brodie Croyle pass complete short left to Dwayne Bowe for 12 yards (tackle by Marlin Jackson),1.160,2.590
3,3:34,1,10,IND 45,3,10,Kolby Smith middle for 5 yards (tackle by Freddy Keiaho and Quinn Pitcock),2.590,2.720
3,2:56,2,5,IND 40,3,10,Brodie Croyle pass complete deep middle to Tony Gonzalez for 18 yards (tackle by Antoine Bethea),2.720,4.110
3,2:15,1,10,IND 22,3,10,Kolby Smith middle for 3 yards (tackle by Darrell Reid and Gary Brackett),4.110,3.970
3,1:34,2,7,IND 19,3,10,Brodie Croyle pass incomplete deep left intended for Tony Gonzalez,3.970,3.260
3,1:29,3,7,IND 19,9,10,"Brodie Croyle pass complete deep right to Dwayne Bowe for 19 yards, touchdown",3.260,7.000
,,,,,,,"IND challenged the pass completion ruling, and the play was upheld.",,
3,,,,IND 2,10,10,Dave Rayner kicks extra point good,0.000,0.000
3,,,,KAN 30,10,10,"Dave Rayner kicks off 65 yards, returned by Craphonso Thorpe for 13 yards (tackle by Tyron Brackenridge)",0.000,0.040
3,1:18,1,10,IND 18,10,10,Joseph Addai left tackle for -5 yards (tackle by Jared Allen),0.040,-1.140
3,0:44,2,15,IND 13,10,10,Peyton Manning pass incomplete short left intended for Reggie Wayne,-1.140,-1.970
3,0:40,3,15,IND 13,10,10,"Peyton Manning pass incomplete deep left intended for Reggie Wayne. Penalty on Craphonso Thorpe: Illegal Shift (Offsetting), Penalty on Patrick Surtain: Illegal Contact (Offsetting) (no play)",-1.970,-1.970
3,0:35,3,15,IND 13,10,10,Peyton Manning pass complete short right to Dallas Clark for 9 yards (tackle by Benny Sapp),-1.970,-1.900
Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,6,IND 22,10,10,Hunter Smith punts 41 yards,-1.900,-1.400
4,14:53,1,10,KAN 37,10,10,Priest Holmes left end for -2 yards (tackle by Marlin Jackson),1.400,0.590
4,14:17,2,12,KAN 35,10,10,Brodie Croyle pass incomplete short right intended for Dwayne Bowe,0.590,-0.100
4,14:11,3,12,KAN 35,10,10,Brodie Croyle pass complete short middle to Kolby Smith for 11 yards (tackle by Antoine Bethea),-0.100,-0.320
4,13:25,4,1,KAN 46,10,10,"Dustin Colquitt punts 30 yards, fair catch by T.J. Rushing",-0.320,-0.540
4,13:18,1,10,IND 24,10,10,Joseph Addai right end for 4 yards (tackle by Donnie Edwards),0.540,0.540
4,12:48,2,6,IND 28,10,10,Joseph Addai left end for 2 yards (tackle by Jared Allen and Jarrad Page),0.540,0.100
4,12:03,3,4,IND 30,10,10,Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Patrick Surtain),0.100,1.400
4,11:24,1,10,IND 37,10,10,"Peyton Manning pass incomplete deep right intended for Craphonso Thorpe. Penalty on Benny Sapp: Illegal Contact, 5 yards (no play)",1.400,1.730
4,11:19,1,10,IND 42,10,10,Peyton Manning pass incomplete short right intended for Craphonso Thorpe,1.730,1.190
4,11:15,2,10,IND 42,10,10,Peyton Manning pass incomplete deep middle intended for Dallas Clark,1.190,0.500
4,11:11,3,10,IND 42,10,10,Peyton Manning pass incomplete deep middle intended for Dallas Clark,0.500,-0.590
4,11:06,4,10,IND 42,10,10,Hunter Smith punts 34 yards,-0.590,-0.540
4,10:59,1,10,KAN 24,10,10,Priest Holmes left tackle for no gain (tackle by Gary Brackett),0.540,0.000
4,10:23,2,10,KAN 24,10,10,Brodie Croyle pass complete short right to Tony Gonzalez for 7 yards (tackle by Kelvin Hayden and Freddy Keiaho),0.000,0.230
4,9:39,3,3,KAN 31,10,10,Brodie Croyle pass complete short middle to Dwayne Bowe for 14 yards (tackle by Antoine Bethea),0.230,1.930
4,8:58,1,10,KAN 45,10,10,Kolby Smith left end for -5 yards (tackle by Josh Thomas),1.930,0.710
4,8:18,2,15,KAN 40,10,10,Brodie Croyle sacked by Raheem Brock for -3 yards,0.710,-0.360
4,7:41,3,18,KAN 37,10,10,Kolby Smith left tackle for 2 yards (tackle by Kelvin Hayden and Gary Brackett),-0.360,-0.780
4,7:08,4,16,KAN 39,10,10,"Dustin Colquitt punts 37 yards, returned by T.J. Rushing for 9 yards (tackle by Keyaron Fox)",-0.780,-1.140
4,6:59,1,10,IND 33,10,10,Peyton Manning pass complete short right to Joseph Addai for 17 yards (tackle by Donnie Edwards),1.140,2.260
4,6:19,1,10,KAN 50,10,10,Peyton Manning pass complete short left to Reggie Wayne for 11 yards (tackle by Patrick Surtain),2.260,2.980
4,5:36,1,10,KAN 39,10,10,"Peyton Manning sacked by Tamba Hali for -7 yards. Peyton Manning fumbles (forced by Tamba Hali), recovered by Peyton Manning at KAN-46",2.980,1.500
4,4:59,2,17,KAN 46,10,10,Peyton Manning pass complete short left to Reggie Wayne for 19 yards (tackle by Patrick Surtain),1.500,3.780
4,4:15,1,10,KAN 27,10,10,Kenton Keith left end for 3 yards (tackle by Jared Allen and Napoleon Harris),3.780,3.640
4,3:32,2,7,KAN 24,10,10,Peyton Manning pass complete short middle to Ben Utecht for 12 yards (tackle by Derrick Johnson),3.640,4.780
4,2:46,1,10,KAN 12,10,10,Joseph Addai right end for 1 yard (tackle by Derrick Johnson),4.780,4.270
4,2:39,,,,10,10,Timeout #1 by Kansas City Chiefs,0.000,4.270
4,2:39,2,9,KAN 11,10,10,Joseph Addai right end for 8 yards (tackle by Donnie Edwards and Jared Allen),4.270,5.060
4,2:30,,,,10,10,Timeout #2 by Kansas City Chiefs,0.000,5.060
4,2:30,3,1,KAN 3,10,10,Joseph Addai left end for no gain (tackle by Bernard Pollard and Jarrad Page),5.060,3.060
4,2:00,4,1,KAN 3,10,10,Peyton Manning middle for 1 yard (tackle by Bernard Pollard and Derrick Johnson),3.060,6.740
4,1:44,,,,10,10,Timeout #3 by Kansas City Chiefs,0.000,6.740
4,1:44,1,2,KAN 2,10,10,Peyton Manning kneels for -1 yards,6.740,5.530
4,1:03,2,3,KAN 3,10,10,Peyton Manning kneels for -2 yards,5.530,4.260
4,0:22,3,5,KAN 5,10,10,Peyton Manning kneels for -1 yards,4.260,2.990
4,0:06,,,,10,10,Timeout #2 by Indianapolis Colts,0.000,2.990
4,0:06,4,6,KAN 6,10,13,Adam Vinatieri 24 yard field goal good,2.990,3.000
4,,,,IND 30,10,13,Adam Vinatieri kicks off 30 yards,0.000,1.600
4,0:03,1,10,KAN 40,10,13,"Brodie Croyle pass complete short left to Kolby Smith for 16 yards, lateral to Samie Parker for 5 yards. Samie Parker fumbles, ball out of bounds at IND-39",1.600,2.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
