Unnamed: 0,KAN,IND
First Downs,11,16
Rush-Yds-TDs,27-72-0,27-66-1
Cmp-Att-Yd-TD-INT,19-27-169-1-0,16-32-163-0-1
Sacked-Yards,2-7,2-13
Net Pass Yards,162,150
Total Yards,234,216
Fumbles-Lost,3-2,1-0
Turnovers,2,1
Penalties-Yards,5-33,2-10
Third Down Conv.,6-15,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,32:23,27:37
