Unnamed: 0,NYG,JAX
First Downs,22,18
Rush-Yds-TDs,35-116-2,22-118-0
Cmp-Att-Yd-TD-INT,24-34-247-1-0,21-35-194-1-0
Sacked-Yards,4-34,7-54
Net Pass Yards,213,140
Total Yards,329,258
Fumbles-Lost,3-3,0-0
Turnovers,3,0
Penalties-Yards,6-40,7-49
Third Down Conv.,7-15,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:39,25:21
