Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Jay Cutler pass complete deep middle to Tony Scheffler for 29 yards (tackle by Keith Lewis),0.280,2.190
1,14:26,1,10,DEN 49,0,0,Jay Cutler pass complete short left to Rod Smith for 15 yards,2.190,3.180
1,14:00,1,10,SFO 36,0,0,Tatum Bell left tackle for no gain (tackle by Manny Lawson),3.180,2.640
1,13:23,2,10,SFO 36,0,0,Tatum Bell right tackle for 1 yard (tackle by Brandon Moore and Jeff Ulbrich),2.640,2.080
1,12:45,3,9,SFO 35,0,0,Jay Cutler pass incomplete short middle intended for Mike Bell,2.080,0.970
1,12:40,4,9,SFO 35,0,0,Paul Ernster punts 34 yards,0.970,0.380
1,12:30,1,10,SFO 2,0,0,Frank Gore for 3 yards (tackle by D.J. Williams),-0.380,-0.560
1,11:53,2,7,SFO 5,0,0,Frank Gore middle for no gain (tackle by Domonique Foxworth and Ebenezer Ekuban),-0.560,-1.070
1,11:10,3,7,SFO 5,0,0,Frank Gore left end for 2 yards (tackle by Ian Gold and Darrent Williams),-1.070,-2.490
1,10:32,4,5,SFO 7,0,0,"Andy Lee punts 50 yards, returned by Darrent Williams for 16 yards (tackle by Maurice Hicks)",-2.490,-2.850
1,10:20,1,10,SFO 41,0,0,Jay Cutler sacked by Shawntae Spencer for -8 yards,2.850,1.230
1,9:52,2,18,SFO 49,0,0,Tatum Bell left end for 5 yards (tackle by Brandon Moore and Marques Douglas),1.230,1.220
1,9:08,3,13,SFO 44,0,0,Jay Cutler pass complete short right to Javon Walker for 7 yards (tackle by Hannibal Navies),1.220,0.790
1,8:26,4,6,SFO 37,0,0,"Paul Ernster punts 37 yards, touchback",0.790,-0.280
1,8:16,1,10,SFO 20,0,0,Alex Smith pass incomplete short right intended for Bryan Gilmore,0.280,-0.270
1,8:10,2,10,SFO 20,0,0,Frank Gore middle for 3 yards (tackle by Michael Myers and John Lynch),-0.270,-0.560
1,7:20,3,7,SFO 23,0,0,Alex Smith pass complete short left to Taylor Jacobs for 10 yards (tackle by Darrent Williams),-0.560,1.140
1,6:33,1,10,SFO 33,0,0,Vernon Davis left end for -4 yards (tackle by John Lynch and Ian Gold),1.140,0.050
1,5:51,2,14,SFO 29,0,0,Frank Gore middle for 5 yards (tackle by D.J. Williams),0.050,0.040
1,5:08,3,9,SFO 34,0,0,Alex Smith pass complete short right to Eric Johnson for 7 yards (tackle by Domonique Foxworth),0.040,-0.650
1,5:02,4,2,SFO 41,0,0,Michael Robinson pass incomplete short middle intended for Maurice Hicks (defended by Ian Gold),-0.650,-2.920
1,4:57,1,10,SFO 40,0,0,"Jay Cutler pass incomplete short middle intended for Tony Scheffler (defended by Jeff Ulbrich). Penalty on Mark Roman: Unnecessary Roughness, 15 yards (no play)",2.920,3.910
1,4:51,1,10,SFO 25,0,0,Tatum Bell left end for 2 yards (tackle by Bryant Young),3.910,3.630
1,4:08,2,8,SFO 23,0,0,"Jay Cutler pass incomplete short middle intended for Brandon Marshall. Penalty on Mark Roman: Defensive Pass Interfere (Declined), Penalty on Keith Lewis: Roughing the Passer, 12 yards (no play)",3.630,4.840
1,4:02,1,10,SFO 11,0,0,Tatum Bell middle for 5 yards (tackle by Isaac Sopoaga),4.840,5.080
1,3:21,2,5,SFO 6,0,0,Tatum Bell left guard for 5 yards (tackle by Hannibal Navies),5.080,6.970
1,2:40,1,1,SFO 1,0,0,Mike Bell middle for no gain (tackle by Brandon Moore),6.970,5.910
1,2:00,2,1,SFO 1,0,0,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Jay Cutler at SFO-1",5.910,5.170
1,1:24,3,1,SFO 1,0,0,Mike Bell middle for -3 yards (tackle by Jeff Ulbrich),5.170,3.030
1,0:47,4,4,SFO 4,0,3,Jason Elam 22 yard field goal good,3.030,3.000
1,0:43,,,DEN 30,0,3,"Paul Ernster kicks off 57 yards, returned by Maurice Hicks for 24 yards (tackle by Curome Cox)",0.000,1.400
1,0:37,1,10,SFO 37,0,3,Alex Smith pass incomplete deep left intended for Vernon Davis,1.400,0.860
1,0:29,2,10,SFO 37,0,3,Frank Gore left end for 5 yards (tackle by John Engelberger),0.860,0.830
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,SFO 42,0,3,Alex Smith pass incomplete short right intended for Arnaz Battle,0.830,-0.590
2,14:56,4,5,SFO 42,0,3,"Andy Lee punts 51 yards, returned by Darrent Williams for 34 yards (tackle by Mike Adams)",-0.590,-1.660
2,14:36,1,10,DEN 41,0,3,"Penalty on George Foster: False Start, 5 yards (no play)",1.660,1.330
2,14:36,1,15,DEN 36,0,3,Jay Cutler pass complete short middle to Tatum Bell for 10 yards (tackle by Brandon Moore),1.330,1.800
2,13:57,2,5,DEN 46,0,3,"Jay Cutler sacked by Anthony Adams for -10 yards. Penalty on Shawntae Spencer: Illegal Contact, 5 yards (no play)",1.800,2.320
2,13:28,1,10,SFO 49,0,3,Mike Bell middle for 46 yards (tackle by Manny Lawson),2.320,6.510
2,12:41,1,3,SFO 3,0,3,Jake Plummer sacked by Melvin Oliver for -3 yards,6.510,4.950
2,12:06,2,6,SFO 6,0,3,Jake Plummer pass incomplete short left intended for Rod Smith (defended by Walt Harris),4.950,4.040
2,12:02,3,6,SFO 6,0,3,Jake Plummer middle for 3 yards (tackle by Anthony Adams),4.040,3.040
2,11:23,4,3,SFO 3,0,6,Jason Elam 21 yard field goal good,3.040,3.000
2,11:19,,,DEN 30,0,6,"Paul Ernster kicks off 57 yards, returned by Maurice Hicks for 25 yards (tackle by Patrick Chukwurah)",0.000,1.470
2,11:13,1,10,SFO 38,0,6,Alex Smith pass complete short left to Vernon Davis for 5 yards (tackle by Ian Gold),1.470,1.600
2,10:27,2,5,SFO 43,0,6,Alex Smith pass incomplete short right intended for Taylor Jacobs (defended by John Engelberger),1.600,0.890
2,10:22,3,5,SFO 43,0,6,Alex Smith sacked by Patrick Chukwurah for -5 yards,0.890,-0.850
2,9:58,4,10,SFO 38,0,6,"Andy Lee punts 48 yards, returned by David Kircus for 12 yards (tackle by Maurice Hicks). Penalty on Nate Jackson: Illegal Block Above the , 9 yards",-0.850,0.380
2,9:45,1,10,DEN 9,0,6,Tatum Bell left guard for 11 yards (tackle by Keith Lewis),-0.380,0.280
2,9:09,1,10,DEN 20,0,6,"Tatum Bell right guard for 2 yards (tackle by Marques Douglas). Penalty on Damane Duckett: Defensive Holding, 5 yards",0.280,0.740
2,8:44,1,10,DEN 27,0,6,"Jake Plummer pass incomplete deep middle intended for Javon Walker is intercepted by Walt Harris at SFO-19 and returned for 42 yards. Walt Harris fumbles (forced by Kyle Johnson), ball out of bounds at DEN-39",0.740,-2.980
2,8:23,1,10,DEN 39,0,6,"Alex Smith for no gain. Alex Smith fumbles, recovered by Alex Smith at DEN-43",2.980,2.040
2,7:52,2,13,DEN 42,0,6,Frank Gore middle for 3 yards (tackle by John Lynch),2.040,1.750
2,7:11,3,10,DEN 39,0,6,Alex Smith sacked by Ebenezer Ekuban and Elvis Dumervil for -7 yards,1.750,0.200
2,6:41,4,17,DEN 46,0,6,"Andy Lee punts 33 yards, fair catch by David Kircus",0.200,0.280
2,6:34,1,10,DEN 14,0,6,Tatum Bell middle for 2 yards (tackle by Melvin Oliver),-0.280,-0.510
2,6:01,2,8,DEN 16,0,6,Tatum Bell left guard for 2 yards (tackle by Jeff Ulbrich),-0.510,-0.920
2,5:18,3,6,DEN 18,0,6,"Penalty on Jake Plummer: False Start, 5 yards (no play)",-0.920,-1.530
2,4:55,3,11,DEN 13,0,6,Tatum Bell middle for 10 yards (tackle by Brandon Moore),-1.530,-1.830
2,4:12,4,1,DEN 23,0,6,"Paul Ernster punts 45 yards, returned by Brandon Williams for 4 yards (tackle by Karl Paymah)",-1.830,-1.330
2,4:00,1,10,SFO 36,0,6,Frank Gore right tackle for 3 yards (tackle by Kenard Lang),1.330,1.200
2,3:19,2,7,SFO 39,0,6,Alex Smith pass incomplete short left intended for Frank Gore,1.200,0.500
2,3:15,,,,0,6,Timeout #1 by San Francisco 49ers,0.000,0.500
2,3:15,3,7,SFO 39,0,6,Alex Smith pass complete short right to Frank Gore for 26 yards (tackle by John Lynch),0.500,3.250
2,2:24,1,10,DEN 35,0,12,"Alex Smith pass incomplete short right intended for Frank Gore is intercepted by Champ Bailey at DEN-30 and returned for 70 yards, touchdown",3.250,-7.000
2,,,,SFO 2,0,13,Jason Elam kicks extra point good,0.000,0.000
2,2:09,,,DEN 30,0,13,"Paul Ernster kicks off 71 yards, returned by Maurice Hicks for 36 yards (tackle by Quentin Harris)",0.000,1.270
2,2:01,1,10,SFO 35,0,13,Frank Gore right tackle for 24 yards (tackle by Elvis Dumervil),1.270,2.850
2,1:53,1,10,DEN 41,0,13,Alex Smith pass complete short left to Arnaz Battle for 9 yards (tackle by Ebenezer Ekuban),2.850,3.520
2,1:14,2,1,DEN 32,0,13,Alex Smith pass incomplete deep left intended for Taylor Jacobs (defended by Darrent Williams),3.520,2.810
2,1:08,3,1,DEN 32,0,13,"Penalty on Adam Snyder: False Start, 4 yards (no play)",2.810,2.280
2,1:08,3,5,DEN 36,0,13,Alex Smith pass complete short left to Eric Johnson for 3 yards (tackle by Darrent Williams),2.280,1.200
2,1:03,,,,0,13,Timeout #2 by San Francisco 49ers,0.000,1.200
2,1:03,4,2,DEN 33,0,13,Alex Smith right end for 3 yards (tackle by Ian Gold),1.200,3.580
2,0:57,1,10,DEN 30,0,13,Frank Gore right tackle for 9 yards (tackle by Hamza Abdullah),3.580,4.250
2,0:35,2,1,DEN 21,0,13,Alex Smith pass incomplete short right intended for Bryan Gilmore,4.250,3.530
2,0:31,3,1,DEN 21,0,13,Frank Gore right tackle for 9 yards (tackle by D.J. Williams),3.530,4.780
2,0:19,,,,0,13,Timeout #3 by San Francisco 49ers,0.000,4.780
2,0:19,1,10,DEN 12,0,13,"Penalty on Vernon Davis: False Start, 5 yards (no play)",4.780,4.320
2,0:19,1,15,DEN 17,0,13,"Alex Smith sacked by D.J. Williams for -3 yards. Alex Smith fumbles (forced by D.J. Williams), ball out of bounds at DEN-28",4.320,2.060
