Unnamed: 0,SFO,DEN
First Downs,17,19
Rush-Yds-TDs,38-189-0,27-115-0
Cmp-Att-Yd-TD-INT,17-33-194-1-1,21-34-230-1-2
Sacked-Yards,4-23,3-20
Net Pass Yards,171,210
Total Yards,360,325
Fumbles-Lost,4-0,2-1
Turnovers,1,3
Penalties-Yards,8-61,8-49
Third Down Conv.,9-20,3-13
Fourth Down Conv.,1-2,0-0
Time of Possession,38:58,34:06
