Unnamed: 0,TAM,NOR
First Downs,24,13
Rush-Yds-TDs,26-172-1,21-84-0
Cmp-Att-Yd-TD-INT,29-37-313-2-1,17-23-179-2-0
Sacked-Yards,3-19,3-17
Net Pass Yards,294,162
Total Yards,466,246
Fumbles-Lost,0-0,3-1
Turnovers,1,1
Penalties-Yards,7-55,6-40
Third Down Conv.,5-13,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,34:46,25:14
