Quarter,Time,Down,ToGo,Location,CAR,NYJ,Detail,EPB,EPA
1,6:05,2,6,CAR 18,3,0,Josh McCown pass complete short left to Lawrence Thomas for 5 yards (tackle by Daryl Worley),4.130,4.390
1,5:20,3,1,CAR 13,3,0,Josh McCown pass incomplete short right intended for Austin Seferian-Jenkins,4.390,2.720
1,5:16,4,1,CAR 13,3,3,Chandler Catanzaro 31 yard field goal good,2.720,3.000
1,5:13,,,NYJ 35,3,3,"Chandler Catanzaro kicks off 62 yards, returned by Fozzy Whittaker for 18 yards (tackle by Josh Martin)",0.000,-0.340
1,5:08,1,10,CAR 21,3,3,"Cam Newton for no gain. Cam Newton fumbles, recovered by Jonathan Stewart at CAR-13",0.340,0.000
1,4:24,,,,,,Timeout #1 by New York Jets,0.000,1.350
1,4:24,2,18,CAR 13,3,3,Cam Newton pass complete short left to Devin Funchess for 21 yards (tackle by Demario Davis),-1.350,1.200
1,3:53,1,10,CAR 34,3,3,Cam Newton sacked by Steve McLendon for -3 yards,1.200,0.250
1,3:10,2,13,CAR 31,3,3,Cam Newton pass incomplete deep left intended for Ed Dickson,0.250,-0.430
1,3:04,3,13,CAR 31,3,3,Cam Newton sacked by Darron Lee for -10 yards,-0.430,-1.960
1,2:21,4,23,CAR 21,3,3,Michael Palardy punts 63 yards,-1.960,0.140
1,2:07,1,10,NYJ 16,3,3,Bilal Powell middle for 14 yards (tackle by Daryl Worley),-0.140,0.940
1,1:28,1,10,NYJ 30,3,3,"Josh McCown sacked by Shaq Thompson for -9 yards. Penalty on Daryl Worley: Illegal Use of Hands, 5 yards (no play)",0.940,1.270
1,0:54,1,10,NYJ 35,3,3,Elijah McGuire right tackle for 1 yard (tackle by Kurt Coleman and Thomas Davis),1.270,0.860
1,0:27,2,9,NYJ 36,3,3,Matt Forte left tackle for -1 yards (tackle by Star Lotulelei),0.860,0.040
Quarter,Time,Down,ToGo,Location,CAR,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,NYJ 35,3,3,Josh McCown middle for 6 yards (tackle by Luke Kuechly),0.040,-0.650
2,14:23,4,4,NYJ 41,3,3,"Lac Edwards punts 45 yards, fair catch by Christian McCaffrey",-0.650,0.280
2,14:16,1,10,CAR 14,3,3,Jonathan Stewart right tackle for no gain (tackle by Jordan Jenkins and Demario Davis),-0.280,-0.750
2,13:40,2,10,CAR 14,3,3,"Cam Newton pass complete short left to Devin Funchess for 17 yards (tackle by Buster Skrine). Penalty on Demario Davis: Roughing the Passer, 15 yards",-0.750,1.990
2,13:16,1,10,CAR 46,3,3,Kaelin Clay left end for 29 yards (tackle by Marcus Maye),1.990,3.910
2,12:34,1,10,NYJ 25,3,3,Jonathan Stewart middle for 3 yards (tackle by Josh Martin and Mike Pennel),3.910,3.770
2,11:52,2,7,NYJ 22,3,3,Cam Newton pass complete short left to Devin Funchess for 15 yards (tackle by Darryl Roberts),3.770,5.600
2,11:22,1,7,NYJ 7,3,3,Christian McCaffrey middle for 6 yards (tackle by Marcus Maye and Darron Lee),5.600,5.910
2,10:48,2,1,NYJ 1,3,3,Jonathan Stewart middle for no gain (tackle by Mike Pennel and Marcus Maye),5.910,5.170
2,10:07,3,1,NYJ 1,9,3,"Cam Newton left end for 1 yard, touchdown",5.170,7.000
2,10:02,,,NYJ 15,9,3,Graham Gano kicks extra point no good,0.000,-1.000
2,10:02,,,CAR 35,9,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,10:02,1,10,NYJ 25,9,3,Josh McCown pass complete short right to Jermaine Kearse for 12 yards (tackle by Luke Kuechly and Mike Adams),0.610,1.400
2,9:30,1,10,NYJ 37,9,3,Matt Forte left tackle for 3 yards (tackle by Julius Peppers and Kyle Love),1.400,1.260
2,8:56,2,7,NYJ 40,9,3,Josh McCown pass incomplete deep left intended for Robby Anderson,1.260,0.000
2,8:50,,,,,,Timeout #2 by New York Jets,0.000,-0.560
2,8:50,3,7,NYJ 40,9,3,Josh McCown pass incomplete short left intended for Jermaine Kearse (defended by Vernon Butler),0.560,-0.720
2,8:46,4,7,NYJ 40,9,3,"Lac Edwards punts 51 yards, returned by Christian McCaffrey for 14 yards (tackle by Juston Burris)",-0.720,-0.480
2,8:34,1,10,CAR 23,9,3,Cam Newton right tackle for 3 yards (tackle by Darron Lee),0.480,0.340
2,7:58,2,7,CAR 26,9,3,Cam Newton pass incomplete deep left intended for Devin Funchess,0.340,0.000
2,7:52,,,,,,Timeout #1 by Carolina Panthers,0.000,0.360
2,7:52,3,7,CAR 26,9,3,Cam Newton pass complete short left to Devin Funchess for 4 yards (tackle by Marcus Maye),-0.360,-1.370
2,7:18,4,3,CAR 30,9,3,"Michael Palardy punts 53 yards, returned by Jojo Natson for -7 yards (tackle by Shaq Thompson)",-1.370,0.380
2,7:05,1,10,NYJ 10,9,3,Bilal Powell left tackle for 1 yard (tackle by Mario Addison and Thomas Davis),-0.380,-0.710
2,6:31,2,9,NYJ 11,9,3,Josh McCown pass incomplete short right intended for Jermaine Kearse,-0.710,-1.300
2,6:27,3,9,NYJ 11,9,3,Josh McCown pass incomplete deep middle intended for Austin Seferian-Jenkins,-1.300,-2.490
2,6:22,4,9,NYJ 11,9,3,"Lac Edwards punts 46 yards, returned by Christian McCaffrey for 8 yards (tackle by David Bass)",-2.490,-2.320
2,6:10,1,10,NYJ 49,9,3,Christian McCaffrey right guard for 40 yards (tackle by Darryl Roberts),2.320,5.140
2,5:25,1,9,NYJ 9,9,3,Cam Newton pass incomplete short middle intended for Devin Funchess,5.140,4.380
2,5:20,2,9,NYJ 9,9,3,"Cam Newton left end for -2 yards (tackle by Josh Martin). Penalty on Chris Manhertz: Illegal Use of Hands, 10 yards (no play)",4.380,3.070
2,4:52,2,19,NYJ 19,9,3,Cam Newton right tackle for 4 yards (tackle by Darron Lee),3.070,2.930
2,4:08,3,15,NYJ 15,9,3,Cam Newton pass incomplete short right intended for Greg Olsen,2.930,2.440
2,4:02,4,15,NYJ 15,12,3,Graham Gano 33 yard field goal good,2.440,3.000
2,3:59,,,CAR 35,12,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,3:59,1,10,NYJ 25,12,3,Josh McCown pass complete short right to Robby Anderson for 5 yards (tackle by Thomas Davis),0.610,0.740
2,3:36,2,5,NYJ 30,12,3,Matt Forte middle for no gain (tackle by Vernon Butler),0.740,0.040
2,2:56,3,5,NYJ 30,12,3,Josh McCown pass incomplete short right intended for Robby Anderson,0.040,-1.370
2,2:52,4,5,NYJ 30,12,3,"Lac Edwards punts 51 yards, returned by Kaelin Clay for 5 yards (tackle by Eric Tomlinson)",-1.370,-0.540
2,2:39,1,10,CAR 24,12,3,Cam Newton pass incomplete short left intended for Greg Olsen,0.540,0.000
2,2:32,2,10,CAR 24,12,3,Cam Newton pass incomplete short middle intended for Christian McCaffrey (defended by Muhammad Wilkerson),0.000,-0.690
2,2:28,3,10,CAR 24,12,3,Cam Newton pass incomplete short right intended for Ed Dickson,-0.690,-1.770
2,2:19,4,10,CAR 24,12,3,"Michael Palardy punts 41 yards, muffed catch by Jojo Natson, recovered by Jojo Natson and returned for no gain",-1.770,-1.270
2,2:12,1,10,NYJ 35,12,3,"Josh McCown pass complete right to Bilal Powell for 12 yards (tackle by Luke Kuechly). Penalty on Chad Hansen: Illegal Block Above the Waist, 10 yards",1.270,1.560
2,2:00,1,8,NYJ 37,12,3,Matt Forte middle for 5 yards (tackle by Charles Johnson and Kawann Short),1.560,1.670
2,1:40,2,3,NYJ 42,12,3,Josh McCown pass complete short right to Robby Anderson for 6 yards,1.670,2.130
2,1:36,1,10,NYJ 48,12,3,Josh McCown pass complete short right to Austin Seferian-Jenkins for 19 yards (tackle by Kurt Coleman),2.130,3.380
2,1:19,1,10,CAR 33,12,3,Josh McCown spiked the ball,3.380,2.840
2,1:12,2,10,CAR 33,12,9,"Josh McCown pass complete deep right to Robby Anderson for 33 yards, touchdown. Penalty on Julius Peppers: Encroachment, 5 yards",2.840,7.000
2,1:12,,,CAR 15,12,10,"Penalty on Julius Peppers: Encroachment, 5 yards",0.000,0.000
2,1:12,,,CAR 15,12,10,Chandler Catanzaro kicks extra point good,0.000,0.000
2,1:12,,,NYJ 40,12,10,"Chandler Catanzaro kicks off 60 yards, touchback",0.000,-0.610
2,1:12,1,10,CAR 25,12,10,"Cam Newton pass incomplete deep right intended for Greg Olsen (defended by Morris Claiborne). Penalty on Matt Kalil: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,1:06,1,20,CAR 15,12,10,Christian McCaffrey left tackle for 3 yards (tackle by Demario Davis),-0.410,-0.980
2,0:28,2,17,CAR 18,12,10,Christian McCaffrey left tackle for 3 yards (tackle by Muhammad Wilkerson and Jamal Adams),-0.980,-1.150
Quarter,Time,Down,ToGo,Location,CAR,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,12,10,"Graham Gano kicks off 58 yards, returned by Jojo Natson for 20 yards (tackle by Cameron Artis-Payne)",0.000,-0.740
3,14:53,1,10,NYJ 27,12,10,Josh McCown pass incomplete short right intended for Austin Seferian-Jenkins,0.740,0.200
3,14:50,2,10,NYJ 27,12,10,Bilal Powell middle for 3 yards (tackle by Kawann Short),0.200,-0.100
3,14:11,3,7,NYJ 30,12,10,Josh McCown sacked by Mario Addison for -8 yards,-0.100,-1.900
3,13:31,4,15,NYJ 22,12,10,"Lac Edwards punts 60 yards, returned by Kaelin Clay for 8 yards (tackle by Julian Stanford)",-1.900,-0.670
3,13:19,1,10,CAR 26,12,10,Jonathan Stewart middle for 3 yards (tackle by Muhammad Wilkerson),0.670,0.540
3,12:43,2,7,CAR 29,12,10,Jonathan Stewart middle for 1 yard (tackle by Muhammad Wilkerson and Jordan Jenkins),0.540,-0.030
3,12:43,3,6,CAR 30,12,10,"Penalty on Matt Kalil: False Start, 5 yards (no play)",-0.030,-0.690
3,11:35,3,11,CAR 25,12,10,Cam Newton pass incomplete deep right intended for Kaelin Clay (defended by Morris Claiborne),-0.690,-1.700
3,11:26,4,11,CAR 25,12,10,"Michael Palardy punts 35 yards, out of bounds",-1.700,-1.600
3,11:22,1,10,NYJ 40,12,10,Elijah McGuire right end for 9 yards (tackle by Wes Horton and Kurt Coleman),1.600,2.270
3,10:37,2,1,NYJ 49,12,10,"Elijah McGuire left end for no gain (tackle by Wes Horton). Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",2.270,0.920
3,10:13,2,11,NYJ 39,12,10,Josh McCown pass complete short left to Austin Seferian-Jenkins for 8 yards (tackle by Luke Kuechly),0.920,1.290
3,9:42,3,3,NYJ 47,12,10,Josh McCown pass complete short right to Jermaine Kearse for 5 yards (tackle by Jairus Byrd),1.290,2.390
3,9:21,1,10,CAR 48,12,10,Matt Forte right tackle for 6 yards (tackle by Wes Horton and Luke Kuechly),2.390,2.660
3,8:46,2,4,CAR 42,12,10,"Josh McCown pass incomplete short left intended for Matt Forte. Penalty on Wesley Johnson: Offensive Holding, 11 yards (no play)",2.660,1.170
3,8:42,2,15,NYJ 47,12,10,Matt Forte right guard for 6 yards (tackle by Thomas Davis and Star Lotulelei),1.170,1.290
3,8:03,3,9,CAR 47,12,10,Josh McCown pass incomplete short left intended for Chad Hansen,1.290,0.130
3,7:59,4,9,CAR 47,12,10,"Lac Edwards punts 47 yards, touchback. Penalty on Mario Addison: Defensive Offside, 5 yards (no play)",0.130,0.460
3,7:50,4,4,CAR 42,12,10,"Lac Edwards punts 28 yards, fair catch by Kaelin Clay",0.460,0.280
3,7:44,1,10,CAR 14,12,10,Cam Newton pass incomplete short left intended for Kaelin Clay,-0.280,-0.750
3,7:40,2,10,CAR 14,12,10,Cam Newton middle for no gain (tackle by Jordan Jenkins),-0.750,-1.400
3,6:58,3,10,CAR 14,12,10,Cam Newton sacked by Demario Davis for -1 yards,-1.400,-2.490
3,6:28,4,11,CAR 13,12,10,"Michael Palardy punts 52 yards, returned by Jojo Natson for -3 yards (tackle by Shaq Thompson)",-2.490,-1.070
3,6:18,1,10,NYJ 32,12,10,"Matt Forte middle for -1 yards (tackle by Kawann Short and Vernon Butler). Penalty on Vernon Butler: Unnecessary Roughness, 15 yards",1.070,1.990
3,5:52,1,10,NYJ 46,12,16,"Josh McCown pass complete deep right to Robby Anderson for 54 yards, touchdown",1.990,7.000
3,5:41,,,CAR 15,12,17,Chandler Catanzaro kicks extra point good,0.000,0.000
3,5:41,,,NYJ 35,12,17,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
3,5:41,1,10,CAR 25,12,17,Cameron Artis-Payne left tackle for no gain (tackle by Darron Lee and Mike Pennel),0.610,0.060
3,5:02,2,10,CAR 25,12,17,Cam Newton pass incomplete short left intended for Christian McCaffrey,0.060,-0.620
3,4:58,3,10,CAR 25,12,17,Cam Newton pass complete deep left to Devin Funchess for 35 yards (tackle by Marcus Maye),-0.620,2.920
3,4:29,1,10,NYJ 40,12,17,Cam Newton pass incomplete deep left intended for Devin Funchess,2.920,2.370
3,4:22,2,10,NYJ 40,12,17,Christian McCaffrey left guard for 2 yards (tackle by Kony Ealy),2.370,1.950
3,3:48,3,8,NYJ 38,12,17,Cam Newton pass complete short right to Devin Funchess for 6 yards,1.950,1.300
3,3:23,4,2,NYJ 32,12,17,"Cam Newton pass incomplete short right intended for Christian McCaffrey. Penalty on Jordan Jenkins: Defensive Offside, 5 yards (no play)",1.300,3.780
3,3:20,1,10,NYJ 27,12,17,Cam Newton pass complete short left to Christian McCaffrey for 26 yards (tackle by Jamal Adams),3.780,6.970
3,2:33,1,1,NYJ 1,12,17,(no play),6.970,5.830
3,2:33,1,6,NYJ 6,12,17,"Penalty on NYJ: Defensive 12 On-field, 3 yards (no play)",5.830,6.510
3,1:58,1,3,NYJ 3,12,17,Jonathan Stewart for 1 yard (tackle by Xavier Cooper and Mike Pennel),6.510,5.720
3,1:17,2,2,NYJ 2,18,17,"Jonathan Stewart right tackle for 2 yards, touchdown",5.720,7.000
3,1:12,,,NYJ 2,18,17,"Two Point Attempt: Cam Newton pass complete to Ed Dickson, conversion fails",0.000,-1.000
3,1:12,,,CAR 35,18,17,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,1:12,1,10,NYJ 25,18,17,Josh McCown pass incomplete short left intended for Jermaine Kearse (defended by Daryl Worley),0.610,0.060
3,1:08,2,10,NYJ 25,18,17,Josh McCown pass incomplete deep middle intended for Robby Anderson (defended by Luke Kuechly),0.060,-0.620
3,1:02,3,10,NYJ 25,18,17,"Josh McCown pass incomplete short middle intended for Austin Seferian-Jenkins. Penalty on Kevon Seymour: Defensive Pass Interference, 12 yards (no play)",-0.620,1.400
3,0:57,1,10,NYJ 37,18,17,Josh McCown pass incomplete short left intended for Jermaine Kearse,1.400,0.860
3,0:54,2,10,NYJ 37,18,17,Matt Forte middle for 3 yards (tackle by Vernon Butler and Wes Horton),0.860,0.560
3,0:16,3,7,NYJ 40,18,17,Josh McCown pass complete short middle to Jermaine Kearse for 42 yards (tackle by Thomas Davis),0.560,4.370
Quarter,Time,Down,ToGo,Location,CAR,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 18,18,17,Bilal Powell middle for 5 yards (tackle by Kawann Short and Star Lotulelei),4.370,4.610
4,14:24,2,5,CAR 13,18,17,"Josh McCown pass incomplete short left intended for Jermaine Kearse. Penalty on Daryl Worley: Defensive Pass Interference, 12 yards (no play)",4.610,6.970
4,14:20,1,1,CAR 1,18,17,Josh McCown pass incomplete short right intended for Austin Seferian-Jenkins,6.970,5.910
4,14:14,2,1,CAR 1,18,17,Josh McCown pass incomplete short right intended for Austin Seferian-Jenkins,5.910,5.170
4,14:10,3,1,CAR 1,18,17,Josh McCown pass incomplete short right intended for Matt Forte,5.170,3.550
4,14:03,4,1,CAR 1,18,20,Chandler Catanzaro 19 yard field goal good,3.550,3.000
4,14:01,,,NYJ 35,18,20,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
4,14:01,1,10,CAR 25,18,20,Cam Newton pass incomplete deep right intended for Brenton Bersin,0.610,0.060
4,13:56,2,10,CAR 25,18,20,Cam Newton right end for 6 yards (tackle by Jamal Adams),0.060,0.170
4,13:12,3,4,CAR 31,18,20,Cam Newton pass incomplete short left intended for Christian McCaffrey,0.170,-1.310
4,13:09,4,4,CAR 31,18,20,"Michael Palardy punts 40 yards, returned by Jojo Natson for 17 yards",-1.310,-1.990
4,12:58,1,10,NYJ 46,18,20,Bilal Powell right end for -1 yards (tackle by Luke Kuechly and Shaq Thompson),1.990,1.320
4,12:16,2,11,NYJ 45,24,20,"Josh McCown sacked by Wes Horton for -9 yards. Josh McCown fumbles (forced by Wes Horton), recovered by Luke Kuechly at NYJ-34 and returned for 34 yards, touchdown",1.320,-7.000
4,,,,,26,20,"Two Point Attempt: Cam Newton, conversion succeeds",,
4,12:05,,,CAR 35,26,20,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,12:05,1,10,NYJ 25,26,20,Bilal Powell middle for 6 yards (tackle by James Bradberry),0.610,0.870
4,11:31,2,4,NYJ 31,26,20,Bilal Powell right tackle for no gain (tackle by Vernon Butler),0.870,0.170
4,10:47,3,4,NYJ 31,26,20,Josh McCown sacked by Julius Peppers for -8 yards,0.170,-1.830
4,10:09,4,12,NYJ 23,32,20,"Lac Edwards punts 37 yards, returned by Kaelin Clay for 60 yards, touchdown",-1.830,-7.000
4,,,,,32,20,"Two Point Attempt: Cam Newton pass incomplete intended for Devin Funchess, conversion fails",,
4,9:54,,,CAR 35,32,20,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,9:54,1,10,NYJ 25,32,20,Matt Forte left tackle for 1 yard (tackle by Charles Johnson),0.610,0.200
4,9:18,2,9,NYJ 26,32,20,Elijah McGuire right end for -1 yards (tackle by Luke Kuechly and Star Lotulelei),0.200,-0.620
4,8:35,3,10,NYJ 25,32,20,Josh McCown for 22 yards,-0.620,2.060
4,8:04,1,10,NYJ 47,32,20,Elijah McGuire right end for 9 yards (tackle by Thomas Davis and Mike Adams),2.060,2.730
4,7:23,2,1,CAR 44,32,20,Josh McCown pass complete short middle to Jojo Natson for -1 yards (tackle by James Bradberry),2.730,1.880
4,6:48,3,2,CAR 45,32,20,Josh McCown pass complete deep left to Robby Anderson for 28 yards (tackle by James Bradberry),1.880,4.440
4,6:14,1,10,CAR 17,32,20,Josh McCown pass complete short middle to Jermaine Kearse for 14 yards (tackle by Kurt Coleman and David Mayo),4.440,6.510
4,5:37,1,3,CAR 3,32,26,"Josh McCown pass complete short right to Jermaine Kearse for 3 yards, touchdown",6.510,7.000
4,5:32,,,CAR 15,32,27,Chandler Catanzaro kicks extra point good,0.000,0.000
4,5:32,,,NYJ 35,32,27,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
4,5:32,1,10,CAR 25,32,27,Jonathan Stewart middle for 4 yards (tackle by Muhammad Wilkerson),0.610,0.600
4,4:48,2,6,CAR 29,32,27,Cam Newton middle for 5 yards (tackle by Jordan Jenkins and Demario Davis),0.600,0.560
4,4:04,3,1,CAR 34,32,27,Jonathan Stewart right tackle for 2 yards (tackle by Mike Pennel and Marcus Maye),0.560,1.330
4,3:20,1,10,CAR 36,32,27,Cam Newton left end for 2 yards (tackle by Josh Martin),1.330,0.000
4,3:12,,,,,,Timeout #1 by New York Jets,0.000,-1.060
4,3:12,2,8,CAR 38,32,27,Cam Newton pass complete short right to Ed Dickson for 15 yards (tackle by Marcus Maye),1.060,2.460
4,2:25,1,10,NYJ 47,32,27,Jonathan Stewart middle for -1 yards (tackle by Jordan Jenkins),2.460,0.000
4,2:22,,,,,,Timeout #2 by New York Jets,0.000,-1.780
4,2:22,2,11,NYJ 48,32,27,Jonathan Stewart left tackle for no gain (tackle by Josh Martin and Demario Davis),1.780,0.000
4,2:17,,,,,,Timeout #3 by New York Jets,0.000,-1.090
4,2:17,3,11,NYJ 48,32,27,"Cam Newton pass incomplete deep left intended for Devin Funchess. Penalty on Mike Pennel: Roughing the Passer, 14 yards (no play)",1.090,3.310
4,2:12,1,10,NYJ 34,32,27,Jonathan Stewart left tackle for 2 yards (tackle by Xavier Cooper and Josh Martin),3.310,3.040
4,2:00,2,8,NYJ 32,32,27,Jonathan Stewart right guard for 4 yards (tackle by Mike Pennel),3.040,0.000
4,1:12,,,,,,Timeout #2 by Carolina Panthers,0.000,-2.870
4,1:12,3,4,NYJ 28,32,27,Jonathan Stewart right tackle for 1 yard (tackle by Demario Davis),2.870,0.000
4,0:25,,,,,,Timeout #3 by Carolina Panthers,0.000,-1.770
4,0:25,4,3,NYJ 27,35,27,Graham Gano 45 yard field goal good,1.770,3.000
4,0:21,,,CAR 35,35,27,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,0:21,1,10,NYJ 25,35,27,Josh McCown pass complete short left to Elijah McGuire for 13 yards (tackle by Luke Kuechly),0.610,1.470
4,0:03,1,10,NYJ 38,35,27,Josh McCown spiked the ball,1.470,0.920
4,0:02,2,10,NYJ 38,35,27,Josh McCown pass complete short right to Jermaine Kearse for 12 yards (tackle by Jairus Byrd),0.920,2.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
