Unnamed: 0,TAM,ATL
First Downs,14,26
Rush-Yds-TDs,27-96-0,33-130-2
Cmp-Att-Yd-TD-INT,11-22-189-2-2,24-36-235-1-0
Sacked-Yards,1-7,0-0
Net Pass Yards,182,235
Total Yards,278,365
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-30,4-53
Third Down Conv.,8-13,8-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:54,34:06
