Unnamed: 0,NWE,NYG
First Downs,18,10
Rush-Yds-TDs,31-147-1,19-58-0
Cmp-Att-Yd-TD-INT,21-35-143-0-3,17-25-191-1-0
Sacked-Yards,2-7,6-29
Net Pass Yards,136,162
Total Yards,283,220
Fumbles-Lost,3-0,3-1
Turnovers,3,1
Penalties-Yards,2-13,4-37
Third Down Conv.,4-14,4-13
Fourth Down Conv.,2-2,0-0
Time of Possession,34:06,25:54
