Unnamed: 0,NWE,PIT
First Downs,18,19
Rush-Yds-TDs,32-126-2,37-163-1
Cmp-Att-Yd-TD-INT,14-21-207-2-0,14-24-226-2-3
Sacked-Yards,2-11,1-1
Net Pass Yards,196,225
Total Yards,322,388
Fumbles-Lost,1-0,2-1
Turnovers,0,4
Penalties-Yards,1-5,2-20
Third Down Conv.,5-12,4-12
Fourth Down Conv.,1-1,1-2
Time of Possession,28:29,31:31
