Quarter,Time,Tm,Detail,NWE,PIT
1.0,11:20,Patriots,Adam Vinatieri 48 yard field goal,3,0
,6:49,Patriots,Deion Branch 60 yard pass from Tom Brady (Adam Vinatieri kick),10,0
,1:22,Steelers,Jeff Reed 43 yard field goal,10,3
2.0,7:08,Patriots,David Givens 9 yard pass from Tom Brady (Adam Vinatieri kick),17,3
,2:14,Patriots,Rodney Harrison 87 yard interception return (Adam Vinatieri kick),24,3
3.0,10:54,Steelers,Jerome Bettis 5 yard rush (Jeff Reed kick),24,10
,7:27,Patriots,Corey Dillon 25 yard rush (Adam Vinatieri kick),31,10
,2:35,Steelers,Hines Ward 30 yard pass from Ben Roethlisberger (Jeff Reed kick),31,17
4.0,13:29,Steelers,Jeff Reed 20 yard field goal,31,20
,8:03,Patriots,Adam Vinatieri 31 yard field goal,34,20
,2:23,Patriots,Deion Branch 23 yard rush (Adam Vinatieri kick),41,20
,0:52,Steelers,Plaxico Burress 7 yard pass from Ben Roethlisberger (Jeff Reed kick),41,27
