Unnamed: 0,STL,SFO
First Downs,26,12
Rush-Yds-TDs,26-89-0,21-34-1
Cmp-Att-Yd-TD-INT,34-56-362-2-1,13-18-192-2-0
Sacked-Yards,7-46,2-9
Net Pass Yards,316,183
Total Yards,405,217
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,7-48,5-30
Third Down Conv.,8-20,1-7
Fourth Down Conv.,4-4,0-0
Time of Possession,39:23,20:37
