Quarter,Time,Down,ToGo,Location,STL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 30,,,"Joe Nedney kicks off 69 yards, returned by Chris Johnson for no gain",,
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,14:59,1,10,STL 1,0,0,Steven Jackson up the middle for 7 yards (tackle by Jamie Winborn),-0.380,-0.270
1,14:26,2,3,STL 8,0,0,Steven Jackson left end for no gain (tackle by Tony Parrish),-0.270,-0.600
1,13:41,3,3,STL 8,0,0,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Tony Parrish),-0.600,-0.350
1,13:12,1,10,STL 12,0,0,Steven Jackson up the middle for 3 yards (tackle by Marques Douglas),-0.350,-0.500
1,12:33,2,7,STL 15,0,0,Marc Bulger pass incomplete intended for Torry Holt,-0.500,-1.070
1,12:24,3,7,STL 15,0,0,Marc Bulger pass complete to Kevin Curtis for 9 yards (tackle by Mike Adams),-1.070,0.540
1,11:39,1,10,STL 24,0,0,Marc Bulger pass complete to Shaun McDonald for 7 yards (tackle by Tony Parrish),0.540,0.940
1,10:55,2,3,STL 31,0,0,Steven Jackson left end for 9 yards (tackle by Tony Parrish),0.940,1.600
1,10:29,1,10,STL 40,0,0,Marc Bulger pass complete to Torry Holt for 4 yards (tackle by Shawntae Spencer),1.600,1.590
1,9:50,2,6,STL 44,0,0,Steven Jackson right end for 11 yards (tackle by Jeff Ulbrich),1.590,2.590
1,9:24,1,10,SFO 45,0,0,Steven Jackson left guard for 2 yards (tackle by Bryant Young),2.590,2.310
1,8:44,2,8,SFO 43,0,0,Steven Jackson left end for 4 yards (tackle by Marques Douglas and Julian Peterson),2.310,2.150
1,7:59,3,4,SFO 39,0,0,Marc Bulger sacked by Mike Adams for -5 yards,2.150,0.330
1,7:28,4,9,SFO 44,0,0,Reggie Hodges punts 29 yards,0.330,0.220
1,7:21,1,10,SFO 15,0,0,Tim Rattay pass complete to Arnaz Battle for 14 yards (tackle by Michael Hawthorne),-0.220,0.870
1,6:58,1,10,SFO 29,0,0,"Tim Rattay sacked by Leonard Little for -8 yards. Tim Rattay fumbles (forced by Leonard Little), recovered by Anthony Hargrove at SFO-28 (tackle by Jonas Jennings)",0.870,-3.710
,,,,,,,"SFO challenged the ruling, and the play was upheld.",,
1,6:49,1,10,SFO 28,0,0,Marc Bulger pass complete to Torry Holt for 17 yards (tackle by Derek Smith),3.710,4.840
1,6:11,1,10,SFO 11,0,0,Steven Jackson right end for 3 yards (tackle by Derek Smith and Ahmed Plummer),4.840,4.700
1,5:44,2,7,SFO 8,0,0,Marc Bulger pass complete to Torry Holt for 1 yard (tackle by Shawntae Spencer),4.700,3.980
1,4:58,3,6,SFO 7,0,0,"Penalty on Rex Tucker: False Start, 5 yards (no play)",3.980,3.110
1,4:37,3,11,SFO 12,0,0,Marc Bulger pass incomplete intended for Kevin Curtis,3.110,2.630
1,4:32,4,11,SFO 12,3,0,Jeff Wilkins 30 yard field goal good,2.630,3.000
1,,,,STL 30,3,0,"Jeff Wilkins kicks off 70 yards, returned by Maurice Hicks for 40 yards (tackle by Michael Hawthorne)",0.000,1.600
1,4:20,1,10,SFO 40,3,0,Kevan Barlow left guard for 1 yard (tackle by Leonard Little and Adam Archuleta),1.600,1.190
1,3:43,2,9,SFO 41,3,0,Kevan Barlow left end for 1 yard (tackle by Pisa Tinoisamoa),1.190,0.630
1,3:43,3,8,SFO 42,3,0,Arnaz Battle up the middle for -3 yards (tackle by Leonard Little and Anthony Hargrove),0.630,-0.780
1,2:40,4,11,SFO 39,3,0,"Andy Lee punts 38 yards, returned by Shaun McDonald for 1 yard (tackle by Dwaine Carpenter). Penalty on Corey Ivy: Offensive Holding, 10 yards",-0.780,0.280
1,2:31,1,10,STL 14,3,0,Steven Jackson up the middle for 1 yard (tackle by Isaac Sopoaga),-0.280,-0.640
1,1:51,2,9,STL 15,3,0,Marc Bulger pass incomplete intended for Marshall Faulk (defended by Shawntae Spencer),-0.640,-1.280
1,1:47,3,9,STL 15,3,0,Marc Bulger pass complete to Kevin Curtis for 15 yards (tackle by Julian Peterson),-1.280,0.940
1,1:00,1,10,STL 30,3,0,Marc Bulger pass complete to Roland Williams for 12 yards (tackle by Derek Smith),0.940,1.730
1,0:21,1,10,STL 42,3,0,Marc Bulger pass complete to Isaac Bruce for 21 yards (tackle by Tony Parrish),1.730,3.120
Quarter,Time,Down,ToGo,Location,STL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 37,3,0,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Shawntae Spencer),3.120,2.570
2,14:53,2,10,SFO 37,3,0,Marc Bulger pass complete to Dane Looker for 5 yards,2.570,2.540
2,14:28,3,5,SFO 32,3,0,Marc Bulger pass complete to Torry Holt for 15 yards (tackle by Ahmed Plummer),2.540,4.440
2,14:02,1,10,SFO 17,3,0,Marc Bulger sacked by Bryant Young for -6 yards,4.440,3.080
2,13:22,,,,3,0,Timeout #2 by St. Louis Rams,0.000,3.080
2,13:22,2,16,SFO 23,3,0,Marc Bulger pass incomplete intended for Shaun McDonald,3.080,2.410
2,13:16,3,16,SFO 23,3,0,Marc Bulger pass incomplete intended for Kevin Curtis (defended by Tony Parrish),2.410,1.930
2,13:11,4,16,SFO 23,6,0,Jeff Wilkins 41 yard field goal good,1.930,3.000
2,,,,STL 30,6,0,"Jeff Wilkins kicks off 68 yards, returned by Maurice Hicks for 21 yards (tackle by Arlen Harris)",0.000,0.480
2,12:59,1,10,SFO 23,6,0,"Penalty on Jimmy Kennedy: Encroachment, 5 yards (no play)",0.480,1.210
2,12:59,1,5,SFO 28,6,0,Tim Rattay pass complete to Kevan Barlow for 6 yards (tackle by Brandon Chillar and Leonard Little),1.210,1.200
2,12:20,1,10,SFO 34,6,0,Kevan Barlow left guard for 1 yard (tackle by Adam Archuleta),1.200,0.790
2,11:44,2,9,SFO 35,6,0,Tim Rattay pass complete to Kevan Barlow for 11 yards (tackle by Dexter Coakley),0.790,1.990
2,11:00,1,10,SFO 46,6,0,Arnaz Battle pass complete to Brandon Lloyd for 24 yards (tackle by Michael Hawthorne),1.990,3.580
2,10:06,1,10,STL 30,6,0,"Penalty on Tim Rattay: Delay of Game, 5 yards (no play)",3.580,3.250
2,9:52,1,15,STL 35,6,6,"Tim Rattay pass complete to Brandon Lloyd for 35 yards, touchdown",3.250,7.000
2,,,,STL 2,6,7,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,6,7,"Joe Nedney kicks off 66 yards, returned by Chris Johnson for 25 yards (tackle by Saleem Rasheed)",0.000,0.870
2,9:40,1,10,STL 29,6,7,Steven Jackson left end for 8 yards (tackle by Derek Smith),0.870,1.410
2,8:55,2,2,STL 37,6,7,Shaun McDonald left end for 7 yards (tackle by Andre Carter),1.410,1.860
2,8:19,1,10,STL 44,6,7,Steven Jackson right guard for -5 yards (tackle by Derek Smith and Jeff Ulbrich),1.860,0.640
2,7:36,2,15,STL 39,6,7,Marc Bulger pass incomplete intended for Kevin Curtis (defended by Derek Smith),0.640,-0.030
2,7:30,3,15,STL 39,6,7,Marc Bulger sacked by Bryant Young for -8 yards,-0.030,-1.310
2,7:06,4,23,STL 31,6,13,"Reggie Hodges punts 44 yards, returned by Otis Amey for 75 yards, touchdown",-1.310,-7.000
2,,,,STL 2,6,14,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,6,14,Joe Nedney kicks onside 14 yards (onside kick successful),0.000,1.860
