Quarter,Time,Tm,Detail,PHI,WAS
1.0,14:42,Eagles,DeSean Jackson 88 yard pass from Michael Vick (David Akers kick),7,0
,10:17,Eagles,Michael Vick 7 yard rush (David Akers kick),14,0
,5:02,Eagles,LeSean McCoy 11 yard pass from Michael Vick (David Akers kick),21,0
,1:55,Eagles,Jerome Harrison 50 yard rush (David Akers kick),28,0
2.0,14:51,Eagles,Jeremy Maclin 48 yard pass from Michael Vick (David Akers kick),35,0
,14:15,Redskins,Darrel Young 3 yard pass from Donovan McNabb (Graham Gano kick),35,7
,9:39,Redskins,Keiland Williams 6 yard pass from Donovan McNabb (Graham Gano kick),35,14
,3:34,Eagles,Michael Vick 6 yard rush (David Akers kick),42,14
,0:25,Eagles,David Akers 48 yard field goal,45,14
3.0,11:27,Redskins,Keiland Williams 4 yard rush (Graham Gano kick),45,21
,6:15,Eagles,Jason Avant 3 yard pass from Michael Vick (David Akers kick),52,21
,5:19,Eagles,Dimitri Patterson 40 yard interception return (David Akers kick),59,21
4.0,11:16,Redskins,Keiland Williams 32 yard rush (Graham Gano kick),59,28
