0,1
Game Info,Game Info
Won Toss,Eagles
Roof,outdoors
Surface,grass
Duration,3:14
Attendance,84912
Weather,"52 degrees, relative humidity 67%, wind 3 mph, wind chill 0"
Vegas Line,Philadelphia Eagles -3.5
Over/Under,43.5 (over)
