Unnamed: 0,PHI,WAS
First Downs,28,15
Rush-Yds-TDs,38-260-3,18-105-2
Cmp-Att-Yd-TD-INT,20-28-333-4-0,17-31-295-2-3
Sacked-Yards,1-1,2-25
Net Pass Yards,332,270
Total Yards,592,375
Fumbles-Lost,2-0,1-0
Turnovers,0,3
Penalties-Yards,6-35,6-41
Third Down Conv.,8-13,0-10
Fourth Down Conv.,0-0,1-1
Time of Possession,38:11,21:49
