#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:42,WAS 20,3,1:51,8,Punt
2,1,10:17,WAS 26,3,1:25,6,Interception
3,1,5:02,WAS 23,3,1:33,7,Punt
4,1,1:55,WAS 19,3,1:07,2,Punt
5,2,14:51,WAS 26,2,0:36,74,Touchdown
6,2,11:03,WAS 19,3,1:24,81,Touchdown
7,2,6:26,WAS 13,3,1:18,-2,Interception
8,2,3:34,WAS 20,3,0:54,9,Punt
9,2,0:25,WAS 24,2,0:25,13,End of Half
10,3,15:00,WAS 44,8,3:33,56,Touchdown
11,3,6:15,WAS 30,3,0:56,3,Interception
12,3,5:19,WAS 20,4,1:42,-1,Punt
13,4,14:04,WAS 16,7,2:48,84,Touchdown
14,4,4:30,WAS 12,4,2:17,14,Punt
