Unnamed: 0,CLE,PHI
First Downs,11,21
Rush-Yds-TDs,20-57-0,33-134-0
Cmp-Att-Yd-TD-INT,11-29-156-0-2,26-38-290-2-3
Sacked-Yards,2-17,2-6
Net Pass Yards,139,284
Total Yards,196,418
Fumbles-Lost,1-0,0-0
Turnovers,2,3
Penalties-Yards,3-20,1-5
Third Down Conv.,3-12,11-17
Fourth Down Conv.,0-1,0-0
Time of Possession,22:05,37:55
